exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
drugs_00_synthesizability,0,5.638612747192383,43.8701875,32000,31938,9254,22746,1.0,1.0,1.0,0.3808465358806674,0.6869245731575534,0.5257223702917274,0.4962526710852812,0.5381711587061508,drugs_00_synthesizability_0,260.19158935546875,0,0
drugs_00_synthesizability,1,5.704345703125,39.89125,6400,6395,2350,4050,1.0,1.0,1.0,0.3710103068297523,0.7132340425531914,0.5304912215797113,0.4882317607469035,0.58991690069818,drugs_00_synthesizability_1,313.7884216308594,0,0
drugs_00_synthesizability,2,5.851565361022949,35.77296875,6400,6354,2962,3438,1.0,1.0,1.0,0.35047868733731713,0.7356515867656989,0.5459218484159104,0.4794600209032967,0.6538570450426978,drugs_00_synthesizability_2,364.3716125488281,0,0
drugs_00_synthesizability,3,6.015565872192383,32.75796875,6400,6229,3408,2992,1.0,1.0,1.0,0.40759831009173597,0.7674002347417841,0.555428758568431,0.47995917553671635,0.6985356066512913,drugs_00_synthesizability_3,398.1625061035156,0,0
drugs_00_synthesizability,4,6.223419189453125,29.52265625,6400,5949,3803,2597,1.0,1.0,1.0,0.37769903093642915,0.804996055745464,0.5582512111835142,0.48196601719393645,0.7503963819289594,drugs_00_synthesizability_4,387.61328125,0,0
drugs_00_synthesizability,5,6.500678062438965,26.9778125,6400,5551,4121,2279,0.9997573404513468,0.9997573404513468,0.9998301383159428,0.35775713591769287,0.826813880126183,0.5510558636691405,0.48778752256658436,0.7847833541657571,drugs_00_synthesizability_5,402.9036560058594,0,0
drugs_00_synthesizability,6,6.722497940063477,24.4221875,6400,4953,4417,1983,1.0,1.0,1.0,0.4388801977138498,0.8454833597464342,0.549026771401044,0.49916519386349845,0.8191023222645698,drugs_00_synthesizability_6,399.9335632324219,0,0
drugs_00_synthesizability,7,6.860817909240723,22.13265625,6400,4437,4807,1593,1.0,1.0,1.0,0.4724715961171185,0.8626170168504266,0.5376417393602103,0.5124990243477779,0.8421284477457645,drugs_00_synthesizability_7,356.1365966796875,0,0
drugs_00_synthesizability,8,6.95009708404541,20.4325,6400,3832,4997,1403,1.0,1.0,1.0,0.5359757864719333,0.8803081849109465,0.5316573802699383,0.5183755887516067,0.8659853518349676,drugs_00_synthesizability_8,306.32061767578125,0,0
drugs_00_synthesizability,9,7.0064873695373535,19.28203125,6400,3516,5198,1202,1.0,1.0,1.0,0.39467266754866703,0.8840707964601769,0.5295392381365472,0.5243596332923088,0.8765715101076913,drugs_00_synthesizability_9,325.248779296875,0,0
drugs_00_synthesizability,10,7.0485334396362305,18.41553125,32000,12835,26960,5040,0.9998887240356084,0.9999629080118695,0.9999221068249259,0.49453645466346563,0.8972848664688428,0.5289151771234443,0.5255731938349896,0.8892348400897149,drugs_00_synthesizability_10,282.7930603027344,0,0
drugs_00_synthesizability,11,7.086765289306641,18.314375,6400,3093,5472,928,0.9998172514619883,1.0,0.9998720760233919,0.5463192758564412,0.9004751461988305,0.5291954009221101,0.5284398960540065,0.8904304179783704,drugs_00_synthesizability_11,253.40940856933594,0,0
