exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
drugs_02_solubility,0,5.643077373504639,43.917625,32000,31936,9577,22423,1.0,1.0,1.0,0.38793745045636413,0.6850057429257596,0.5311536666873857,0.49612108527903864,0.5355870545530447,drugs_02_solubility_0,244.87033081054688,2.3829092979431152,0.5396826267242432
drugs_02_solubility,1,5.736761569976807,42.35921875,6400,6392,2214,4186,1.0,1.0,1.0,0.30984587458534923,0.726784101174345,0.5602263828392204,0.47602736507252824,0.5972627313427885,drugs_02_solubility_1,381.5786437988281,1.314070224761963,0.730158805847168
drugs_02_solubility,2,5.843276500701904,40.068125,6400,6394,2604,3796,1.0,1.0,1.0,0.3125963074938644,0.7518433179723503,0.564032625225183,0.4685840602115815,0.636959372807269,drugs_02_solubility_2,451.09246826171875,0.8141268491744995,0.8253968954086304
drugs_02_solubility,3,5.928308486938477,39.2584375,6400,6390,2773,3627,1.0,1.0,1.0,0.3395545516771794,0.7570501262170934,0.580975658346784,0.4688296786287081,0.6447227982012993,drugs_02_solubility_3,422.3246765136719,0.604695737361908,0.8253968954086304
drugs_02_solubility,4,6.026777267456055,39.01,6400,6379,3026,3374,1.0,1.0,1.0,0.31084885255422345,0.7486450760079312,0.6055323965410134,0.4703886576739712,0.6608443485716741,drugs_02_solubility_4,426.63397216796875,0.3040355443954468,0.9206349849700928
drugs_02_solubility,5,6.098796367645264,37.5015625,6400,6371,3323,3077,1.0,1.0,1.0,0.27761783098270404,0.759283779717123,0.6214479104248225,0.47449835052902833,0.6880078595412351,drugs_02_solubility_5,402.6434020996094,0.19519296288490295,0.968254029750824
drugs_02_solubility,6,6.2018513679504395,36.8540625,6400,6366,3680,2720,1.0,1.0,1.0,0.3348167787355776,0.768586956521739,0.6377483857429626,0.47551686660020115,0.7009966377619533,drugs_02_solubility_6,422.35015869140625,0.12353934347629547,0.9841270446777344
drugs_02_solubility,7,6.219015598297119,35.98390625,6400,6361,3812,2588,1.0,1.0,1.0,0.2983025587150818,0.7759181532004197,0.6459274238892101,0.487203873301893,0.7148014901320838,drugs_02_solubility_7,418.1536865234375,0.049771733582019806,1.0
drugs_02_solubility,8,6.283795356750488,35.1440625,6400,6336,3852,2548,1.0,1.0,1.0,0.3559554736875079,0.7805555555555556,0.6545959951327054,0.4964657667373144,0.730012888202329,drugs_02_solubility_8,431.7334289550781,0.09224185347557068,0.9841270446777344
drugs_02_solubility,9,6.377810478210449,34.36453125,6400,6299,3799,2601,1.0,1.0,1.0,0.23823199877643314,0.7837325612003159,0.6608965473626806,0.5077579157907665,0.7460689175201891,drugs_02_solubility_9,386.6106872558594,0.12666195631027222,0.9523810148239136
drugs_02_solubility,10,6.470545291900635,32.72578125,32000,29472,19623,12377,1.0,1.0,1.0,0.3020723183589404,0.7896906691127757,0.6622491902302912,0.521558897488171,0.762978659703992,drugs_02_solubility_10,333.685546875,0.023246850818395615,1.0
drugs_02_solubility,11,6.602407455444336,31.06859375,6400,5926,4252,2148,1.0,1.0,1.0,0.39142075096289763,0.8041627469426152,0.6673897196310955,0.5333554531587404,0.7863698475297425,drugs_02_solubility_11,368.6131591796875,0.011195856146514416,1.0
drugs_02_solubility,12,6.73271369934082,30.2015625,6400,5756,4532,1868,1.0,1.0,1.0,0.31812194468839283,0.8073477493380405,0.670519850404663,0.5412823133341436,0.7964848261290897,drugs_02_solubility_12,386.123291015625,0.008441364392638206,1.0
