exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_ratio-of-steps,0,8.45083236694336,99.01128125,32000,31497,0.2781411702513113,0.1074911133198487,0.05494515430898164,music80_06_ratio-of-steps_0,681.694091796875,0.6339636445045471,1.0,0.6123102307319641,1.0,0.5848177671432495,1.0
music80_06_ratio-of-steps,1,8.481616973876953,96.25265625,6400,6328,0.27365446978378616,0.10769890173514542,0.055409756679149005,music80_06_ratio-of-steps_1,703.334716796875,0.5574116110801697,1.0,0.5325218439102173,1.0,0.5134985446929932,1.0
music80_06_ratio-of-steps,2,8.484851837158203,99.32578125,6400,6337,0.27632679978355634,0.1075929103254734,0.05441545563946116,music80_06_ratio-of-steps_2,626.6817626953125,0.48231935501098633,1.0,0.46229878067970276,1.0,0.44007381796836853,1.0
music80_06_ratio-of-steps,3,8.504663467407227,99.67765625,6400,6340,0.2747470530539545,0.10864529928804874,0.05573882954283668,music80_06_ratio-of-steps_3,669.513671875,0.41402438282966614,1.0,0.40026983618736267,1.0,0.38158026337623596,1.0
music80_06_ratio-of-steps,4,8.491632461547852,101.38125,6400,6347,0.27467726045921137,0.10896754778952786,0.05567836886232811,music80_06_ratio-of-steps_4,762.9628295898438,0.36353540420532227,1.0,0.3524678945541382,1.0,0.31706348061561584,1.0
music80_06_ratio-of-steps,5,8.509235382080078,104.4846875,6400,6335,0.27891967578519944,0.1089209375364118,0.05656088696513413,music80_06_ratio-of-steps_5,589.2887573242188,0.30473023653030396,1.0,0.28777945041656494,1.0,0.2675599753856659,1.0
music80_06_ratio-of-steps,6,8.535765647888184,106.79796875,6400,6355,0.2887835213006372,0.10764427918674521,0.05504030842710014,music80_06_ratio-of-steps_6,642.293701171875,0.2511245310306549,1.0,0.23604615032672882,1.0,0.22245894372463226,1.0
music80_06_ratio-of-steps,7,8.529256820678711,107.36984375,6400,6344,0.2957142868475044,0.10721284186176272,0.05336470382075875,music80_06_ratio-of-steps_7,742.721923828125,0.21171393990516663,1.0,0.19573307037353516,1.0,0.1857825517654419,1.0
music80_06_ratio-of-steps,8,8.559082984924316,106.204375,6400,6351,0.3034101895073419,0.10408482949909093,0.05147536036865965,music80_06_ratio-of-steps_8,739.1123657226562,0.16993917524814606,1.0,0.1575261354446411,1.0,0.14825963973999023,1.0
music80_06_ratio-of-steps,9,8.55105209350586,110.14390625,6400,6350,0.3194651008540055,0.10437779354232792,0.05163490279750931,music80_06_ratio-of-steps_9,740.1433715820312,0.13963906466960907,1.0,0.12798653542995453,1.0,0.11871392279863358,1.0
music80_06_ratio-of-steps,10,8.556736946105957,112.44315625,32000,31542,0.3261475931374615,0.10225094896113572,0.05018204102577355,music80_06_ratio-of-steps_10,920.8993530273438,0.11233314871788025,1.0,0.10288992524147034,1.0,0.0952887013554573,1.0
music80_06_ratio-of-steps,11,8.542705535888672,116.5640625,6400,6342,0.33678095259670326,0.10046094025571581,0.04846835041711906,music80_06_ratio-of-steps_11,920.9348754882812,0.0878414735198021,1.0,0.0816509872674942,1.0,0.0764269083738327,1.0
music80_06_ratio-of-steps,12,8.531136512756348,121.13609375,6400,6346,0.34713942815363663,0.1015159251214493,0.04863435791728033,music80_06_ratio-of-steps_12,912.7171020507812,0.06962452083826065,1.0,0.06506390124559402,1.0,0.059129755944013596,1.0
music80_06_ratio-of-steps,13,8.485879898071289,128.68953125,6400,6356,0.3553283353842997,0.09997230140317072,0.04683660249034597,music80_06_ratio-of-steps_13,904.1983642578125,0.05466923490166664,1.0,0.05005760118365288,1.0,0.04684235900640488,1.0
music80_06_ratio-of-steps,14,8.475144386291504,132.73984375,6400,6361,0.3601185318922538,0.09860465405884117,0.04674523715605816,music80_06_ratio-of-steps_14,940.5838623046875,0.04194178059697151,1.0,0.03857569023966789,1.0,0.03589056804776192,1.0
