exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
music80_04_melodicity,0,8.405324935913086,109.80665625,32000,31367,0.2885458840784636,0.09569531721862103,0.04889994890857723,music80_04_melodicity_0,399.3334655761719,0.6466253399848938,1.0,0.6197241544723511,1.0
music80_04_melodicity,1,8.366863250732422,115.3371875,6400,6313,0.28567357236381113,0.09665514540527308,0.04879471361610308,music80_04_melodicity_1,382.63482666015625,0.5843968987464905,1.0,0.5632302165031433,1.0
music80_04_melodicity,2,8.331693649291992,119.7896875,6400,6312,0.287516867407885,0.0990012761295274,0.049367810341374455,music80_04_melodicity_2,419.67486572265625,0.5543246269226074,1.0,0.5101754665374756,1.0
music80_04_melodicity,3,8.31067180633545,124.3884375,6400,6335,0.28410908690459474,0.10147444325413094,0.050122693973163324,music80_04_melodicity_3,428.5183410644531,0.4855424165725708,1.0,0.46110475063323975,1.0
music80_04_melodicity,4,8.290060043334961,127.17390625,6400,6337,0.28465932739279126,0.10084225873859304,0.04994289429049008,music80_04_melodicity_4,446.3707580566406,0.44262221455574036,1.0,0.4193258285522461,1.0
music80_04_melodicity,5,8.254988670349121,129.03671875,6400,6314,0.28244266337668333,0.10153716009349197,0.050396331806284334,music80_04_melodicity_5,452.69525146484375,0.396923691034317,1.0,0.37378835678100586,1.0
music80_04_melodicity,6,8.26063346862793,127.5184375,6400,6326,0.2823674634950701,0.10295115918874184,0.04998394274746036,music80_04_melodicity_6,446.5093994140625,0.3554619550704956,1.0,0.3378804326057434,1.0
music80_04_melodicity,7,8.272214889526367,127.60703125,6400,6352,0.28219106077924,0.10598490467554918,0.05227976311068769,music80_04_melodicity_7,431.8326416015625,0.31614527106285095,1.0,0.30080732703208923,1.0
music80_04_melodicity,8,8.289052963256836,124.031875,6400,6324,0.27695438928797667,0.10587071628888874,0.052183984548865386,music80_04_melodicity_8,446.9511413574219,0.28209415078163147,1.0,0.26802757382392883,1.0
music80_04_melodicity,9,8.288015365600586,120.21734375,6400,6336,0.27691747656686005,0.10780320237057821,0.05367877437817747,music80_04_melodicity_9,485.2627868652344,0.24917243421077728,1.0,0.23398655652999878,1.0
music80_04_melodicity,10,8.294023513793945,118.63796875,32000,31516,0.2720701271203813,0.10905553378807067,0.05446238575704589,music80_04_melodicity_10,457.5469055175781,0.22065769135951996,1.0,0.20692291855812073,1.0
music80_04_melodicity,11,8.294414520263672,117.0015625,6400,6325,0.26825979168968755,0.10885998695301861,0.0542247421404576,music80_04_melodicity_11,487.5157165527344,0.19643747806549072,1.0,0.18045100569725037,1.0
music80_04_melodicity,12,8.318292617797852,112.31203125,6400,6322,0.27030888644032863,0.1114601061368402,0.05533559651126197,music80_04_melodicity_12,383.2805480957031,0.17232097685337067,1.0,0.1662958860397339,1.0
music80_04_melodicity,13,8.32837200164795,109.4175,6400,6332,0.264897434292849,0.11287822017114635,0.0563929988255673,music80_04_melodicity_13,434.00811767578125,0.14925599098205566,1.0,0.14028596878051758,1.0
music80_04_melodicity,14,8.343990325927734,106.73921875,6400,6324,0.2605535478116001,0.11378260462985296,0.057432501665907104,music80_04_melodicity_14,471.6671447753906,0.12681981921195984,1.0,0.1186656504869461,1.0
music80_04_melodicity,15,8.361446380615234,104.6171875,6400,6319,0.26077042833637815,0.11599201288214694,0.05770771090448127,music80_04_melodicity_15,472.8211669921875,0.12069293856620789,1.0,0.10098385810852051,1.0
music80_04_melodicity,16,8.356145858764648,105.03015625,6400,6323,0.25746626480747137,0.11603818159539489,0.05741165491130866,music80_04_melodicity_16,426.1827697753906,0.09637708216905594,1.0,0.08892595022916794,1.0
music80_04_melodicity,17,8.3583345413208,104.671875,6400,6327,0.2554247158118105,0.11900352603195943,0.05870410021491144,music80_04_melodicity_17,433.8736572265625,0.09127068519592285,1.0,0.07438726723194122,1.0
music80_04_melodicity,18,8.376633644104004,102.70375,6400,6325,0.25317003630394763,0.11861716591026139,0.05850949559696575,music80_04_melodicity_18,476.0833740234375,0.07084545493125916,1.0,0.0649753138422966,1.0
music80_04_melodicity,19,8.37330150604248,102.78828125,6400,6344,0.25235328269273916,0.12043459355696115,0.059774053660780854,music80_04_melodicity_19,445.64208984375,0.057187531143426895,1.0,0.05310290679335594,1.0
music80_04_melodicity,20,8.374381065368652,102.0661875,32000,31495,0.2453103730397006,0.12154127564032591,0.059494346959341776,music80_04_melodicity_20,426.59161376953125,0.04778594151139259,1.0,0.04524194076657295,1.0
music80_04_melodicity,21,8.369379043579102,102.42046875,6400,6321,0.24330389649853024,0.12297357319861434,0.05973566149815999,music80_04_melodicity_21,381.7396240234375,0.04281635954976082,1.0,0.04265516996383667,1.0
music80_04_melodicity,22,8.390451431274414,100.673125,6400,6322,0.2409336931301055,0.12434305994649264,0.060542935884426614,music80_04_melodicity_22,442.4093017578125,0.03438548371195793,1.0,0.03078189305961132,1.0
music80_04_melodicity,23,8.4227876663208,98.34890625,6400,6330,0.2427899565357759,0.12545945118859878,0.0598264356720459,music80_04_melodicity_23,410.33648681640625,0.04789747670292854,1.0,0.026787593960762024,1.0
music80_04_melodicity,24,8.407408714294434,98.64375,6400,6338,0.23682474800363898,0.12627873713941073,0.060335881515810943,music80_04_melodicity_24,417.85784912109375,0.02456597052514553,1.0,0.022593209519982338,1.0
music80_04_melodicity,25,8.405641555786133,97.4840625,6400,6334,0.23696347707198417,0.1282425831058335,0.06173088551268014,music80_04_melodicity_25,436.78338623046875,0.020553603768348694,1.0,0.01851806975901127,1.0
music80_04_melodicity,26,8.424712181091309,96.6775,6400,6340,0.23482565418578927,0.1297944360313132,0.06229705610163357,music80_04_melodicity_26,457.68475341796875,0.017179835587739944,1.0,0.015544835478067398,1.0
music80_04_melodicity,27,8.412707328796387,97.8771875,6400,6324,0.2346632149132202,0.12932563116653265,0.06221945192798621,music80_04_melodicity_27,434.1456298828125,0.014182379469275475,1.0,0.012595409527420998,1.0
music80_04_melodicity,28,8.392730712890625,98.1725,6400,6346,0.23468663574855897,0.13114744140700527,0.06256493576847363,music80_04_melodicity_28,444.428466796875,0.013031918555498123,1.0,0.01103846076875925,1.0
music80_04_melodicity,29,8.368263244628906,97.1990625,6400,6337,0.23348550808902055,0.13219247084041538,0.06246811404832348,music80_04_melodicity_29,441.0996398925781,0.010751212947070599,1.0,0.009800879284739494,1.0
music80_04_melodicity,30,8.371660232543945,94.23453125,32000,31498,0.23199297534035007,0.1353957560489792,0.06535950554908915,music80_04_melodicity_30,522.5860595703125,0.009420052170753479,1.0,0.008627636358141899,1.0
music80_04_melodicity,31,8.370227813720703,93.19765625,6400,6314,0.23057532820865156,0.13901613478699493,0.06739226231050259,music80_04_melodicity_31,487.68084716796875,0.007062931079417467,1.0,0.006322700064629316,1.0
music80_04_melodicity,32,8.375895500183105,94.07359375,6400,6344,0.23450177110170511,0.13829590967958036,0.06819848992438914,music80_04_melodicity_32,441.950927734375,0.005973228253424168,1.0,0.00677920039743185,1.0
music80_04_melodicity,33,8.362582206726074,90.17453125,6400,6345,0.23042734145348984,0.14247388270737119,0.07048805831478135,music80_04_melodicity_33,431.15618896484375,0.005212042946368456,1.0,0.005629499442875385,1.0
music80_04_melodicity,34,8.356982231140137,88.43859375,6400,6331,0.2301944843236394,0.1431578709945135,0.07307014088993531,music80_04_melodicity_34,449.4597473144531,0.004401651211082935,1.0,0.004957001656293869,1.0
music80_04_melodicity,35,8.363407135009766,86.3009375,6400,6325,0.227650646826217,0.1438683867489205,0.07189140285356531,music80_04_melodicity_35,482.4862976074219,0.005409877747297287,1.0,0.004497768357396126,1.0
music80_04_melodicity,36,8.390366554260254,83.45359375,6400,6340,0.2331877990436588,0.14638958132842292,0.0748545498399478,music80_04_melodicity_36,435.29901123046875,0.007169518619775772,1.0,0.008603803813457489,1.0
music80_04_melodicity,37,8.40825080871582,80.72828125,6400,6337,0.2280183287040475,0.14763874190145024,0.07382104781498083,music80_04_melodicity_37,435.5772705078125,0.0038790591061115265,1.0,0.0034763168077915907,1.0
music80_04_melodicity,38,8.404126167297363,79.105625,6400,6331,0.22991064148799478,0.15115051116548336,0.07654753975843041,music80_04_melodicity_38,476.6130065917969,0.003198895836248994,1.0,0.0030300626531243324,1.0
music80_04_melodicity,39,8.451431274414062,77.1696875,6400,6335,0.22710179709223405,0.15243477000155925,0.07789421680160802,music80_04_melodicity_39,439.0903015136719,0.003456304781138897,1.0,0.002969118533656001,1.0
music80_04_melodicity,40,8.392881393432617,77.88828125,32000,31447,0.22506843760807135,0.15254770442932553,0.07796720369473521,music80_04_melodicity_40,428.0461730957031,0.002943091792985797,1.0,0.002595821861177683,1.0
music80_04_melodicity,41,8.393896102905273,75.9840625,6400,6306,0.2241985517164718,0.15576180065581552,0.07883240336037863,music80_04_melodicity_41,413.06939697265625,0.0025264453142881393,1.0,0.002895620185881853,1.0
music80_04_melodicity,42,8.375751495361328,76.32375,6400,6331,0.22386876115207785,0.15843633874422802,0.08056811372262146,music80_04_melodicity_42,393.9598388671875,0.002343785250559449,1.0,0.002277589403092861,1.0
music80_04_melodicity,43,8.39841079711914,76.466875,6400,6334,0.2255547097052931,0.15657618539221585,0.08113296425305591,music80_04_melodicity_43,447.2867431640625,0.002437230199575424,1.0,0.002144055673852563,1.0
music80_04_melodicity,44,8.390229225158691,74.4809375,6400,6344,0.22049861653439642,0.15958392418140055,0.08344955281829067,music80_04_melodicity_44,415.1918640136719,0.012305124662816525,1.0,0.002342555671930313,1.0
music80_04_melodicity,45,8.361595153808594,74.82421875,6400,6322,0.21791964470014719,0.16099689225727545,0.08344227283592837,music80_04_melodicity_45,471.0444641113281,0.0019584381952881813,1.0,0.002280519111081958,1.0
music80_04_melodicity,46,8.340434074401855,72.385625,6400,6325,0.21824525719280552,0.16388914013095998,0.08620920823218875,music80_04_melodicity_46,435.6553955078125,0.002214917214587331,1.0,0.0019995335023850203,1.0
music80_04_melodicity,47,8.339391708374023,72.9603125,6400,6323,0.2144965354743882,0.1650494428997363,0.08589825539399289,music80_04_melodicity_47,444.4659729003906,0.0019405168714001775,1.0,0.0019369963556528091,1.0
music80_04_melodicity,48,8.348559379577637,71.6828125,6400,6322,0.21963226287593274,0.1647914469566374,0.08547898862557197,music80_04_melodicity_48,450.1255798339844,0.001832032110542059,1.0,0.003312238259240985,1.0
music80_04_melodicity,49,8.354392051696777,69.9540625,6400,6325,0.2143800628418927,0.16563499954470623,0.0854985074785693,music80_04_melodicity_49,456.7167663574219,0.0019164897967129946,1.0,0.0018078158609569073,1.0
music80_04_melodicity,50,8.321593284606934,69.8615,32000,31417,0.21287364553656746,0.16923288831998928,0.08826466583415674,music80_04_melodicity_50,467.186767578125,0.001698600477539003,1.0,0.0015801162226125598,1.0
music80_04_melodicity,51,8.317244529724121,69.48390625,6400,6317,0.209326914684982,0.17159447699014937,0.08779223196856258,music80_04_melodicity_51,474.5157470703125,0.0015410581836476922,1.0,0.0014247517101466656,1.0
music80_04_melodicity,52,8.332555770874023,69.95203125,6400,6327,0.21011711706877229,0.1723591832794273,0.09044878452561912,music80_04_melodicity_52,476.0296936035156,0.0013658171519637108,1.0,0.0013254870427772403,1.0
music80_04_melodicity,53,8.308307647705078,70.59109375,6400,6324,0.20856442091689856,0.1740442233594732,0.09126747733145274,music80_04_melodicity_53,416.4288330078125,0.001348937745206058,1.0,0.0013952245935797691,1.0
music80_04_melodicity,54,8.314355850219727,69.649375,6400,6332,0.20429719223216622,0.17635929794635172,0.09060124208332981,music80_04_melodicity_54,438.5329895019531,0.001311246189288795,1.0,0.0011910846224054694,1.0
music80_04_melodicity,55,8.315805435180664,67.1165625,6400,6338,0.20626561932558346,0.17739851354143038,0.09334548497177864,music80_04_melodicity_55,490.80218505859375,0.0011337490286678076,1.0,0.0011388190323486924,1.0
music80_04_melodicity,56,8.303995132446289,67.479375,6400,6327,0.2045832582316397,0.1792967103323188,0.09138183932081127,music80_04_melodicity_56,453.1202392578125,0.0016748254420235753,1.0,0.0015193275175988674,1.0
music80_04_melodicity,57,8.331218719482422,68.98328125,6400,6353,0.2038398970815939,0.18036288746700624,0.09484028360273959,music80_04_melodicity_57,392.73382568359375,0.0015147008234634995,1.0,0.001439632149413228,1.0
music80_04_melodicity,58,8.265422821044922,70.643125,6400,6343,0.19904404672333784,0.1837510227081249,0.09693540781042012,music80_04_melodicity_58,441.311767578125,0.0013858446618542075,1.0,0.0011947947787120938,1.0
music80_04_melodicity,59,8.282143592834473,70.32609375,6400,6352,0.1997541591020263,0.18546566689865007,0.09808699473137417,music80_04_melodicity_59,439.37542724609375,0.0011449288576841354,1.0,0.001108048134483397,1.0
music80_04_melodicity,60,8.271336555480957,71.188875,32000,31614,0.1963311921082727,0.18750226010082494,0.09836016926188114,music80_04_melodicity_60,422.6912536621094,0.0011299572652205825,1.0,0.0010572284227237105,1.0
music80_04_melodicity,61,8.257857322692871,72.7325,6400,6349,0.19012059574982984,0.18763480124924584,0.09961210383436792,music80_04_melodicity_61,487.4549255371094,0.0010431308764964342,1.0,0.0010759893339127302,1.0
music80_04_melodicity,62,8.266745567321777,75.1415625,6400,6352,0.1894016272762861,0.18952255201432608,0.10118999972930778,music80_04_melodicity_62,466.8391418457031,0.001005068072117865,1.0,0.0009902098681777716,1.0
music80_04_melodicity,63,8.233367919921875,74.93328125,6400,6365,0.18627428740660437,0.19197311976761838,0.10235458402215589,music80_04_melodicity_63,524.228759765625,0.0009522113250568509,1.0,0.0010017759632319212,1.0
music80_04_melodicity,64,8.199742317199707,78.29453125,6400,6360,0.18837652573527353,0.19467144433625777,0.10491423150444593,music80_04_melodicity_64,515.168212890625,0.0009531761170364916,1.0,0.0009164306102320552,1.0
music80_04_melodicity,65,8.192517280578613,79.38359375,6400,6368,0.18481726549853827,0.1955497257636246,0.10523017708931359,music80_04_melodicity_65,554.0689697265625,0.0009409507620148361,1.0,0.0008779777563177049,1.0
music80_04_melodicity,66,8.175660133361816,80.74890625,6400,6363,0.1832748213815132,0.19577761925130333,0.10617340441396651,music80_04_melodicity_66,507.30596923828125,0.0009143841452896595,1.0,0.0008738707401789725,1.0
music80_04_melodicity,67,8.153427124023438,83.83546875,6400,6359,0.18184770382630752,0.19744674583934743,0.10547675440345645,music80_04_melodicity_67,539.8301391601562,0.0008503066492266953,1.0,0.0008626691997051239,1.0
music80_04_melodicity,68,8.143926620483398,85.00453125,6400,6374,0.17947018295833092,0.19934267620843257,0.10688924914187005,music80_04_melodicity_68,525.1033935546875,0.0008134384406730533,1.0,0.0008092399220913649,1.0
music80_04_melodicity,69,8.120292663574219,86.26765625,6400,6368,0.17857217774586093,0.2013177043724083,0.10859891055238505,music80_04_melodicity_69,528.501220703125,0.0007872495334595442,1.0,0.0007871169364079833,1.0
music80_04_melodicity,70,8.126543045043945,85.7163125,32000,31749,0.17647712560236392,0.20195058453530068,0.10931674968690515,music80_04_melodicity_70,629.657470703125,0.0007630788022652268,1.0,0.0007472934667021036,1.0
music80_04_melodicity,71,8.134868621826172,85.76484375,6400,6360,0.17432399460921602,0.20309455521684697,0.11100194015520262,music80_04_melodicity_71,585.5037841796875,0.000715923379175365,1.0,0.0007215843070298433,1.0
music80_04_melodicity,72,8.095489501953125,87.11328125,6400,6370,0.1739881375848908,0.2055999444736649,0.1125807617884282,music80_04_melodicity_72,590.1824340820312,0.000698034418746829,1.0,0.0006734196795150638,1.0
music80_04_melodicity,73,8.0886812210083,88.536875,6400,6367,0.17101266204312296,0.2070378338994977,0.11294643763389935,music80_04_melodicity_73,662.0446166992188,0.0006608781986869872,1.0,0.0006370922201313078,1.0
music80_04_melodicity,74,8.065563201904297,91.94359375,6400,6371,0.1685870585602165,0.20599745304856776,0.1105923859766051,music80_04_melodicity_74,633.9265747070312,0.0009139943867921829,1.0,0.0006697179633192718,1.0
