exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
music80_04_tonality,24,8.348350524902344,118.8434375,6400,6335,0.20580760573115264,0.13314300477823768,0.08763712111142098,music80_04_tonality_24,341.0602111816406,0.02480885572731495,1.0,0.023245861753821373,1.0
music80_04_tonality,25,8.349494934082031,119.963125,6400,6341,0.2040615249271984,0.13705145870252042,0.08992414800891674,music80_04_tonality_25,340.89898681640625,0.020846081897616386,1.0,0.018710700795054436,1.0
music80_04_tonality,26,8.334338188171387,119.600625,6400,6345,0.19951743843125208,0.13777860629710917,0.09148052389333391,music80_04_tonality_26,383.4386901855469,0.017671646550297737,1.0,0.015656983479857445,1.0
music80_04_tonality,27,8.370705604553223,117.455625,6400,6347,0.20083398249778533,0.14154297894140772,0.09618800887913491,music80_04_tonality_27,378.7198486328125,0.014166736043989658,1.0,0.013416748493909836,1.0
music80_04_tonality,28,8.341785430908203,115.02359375,6400,6336,0.19516560011728565,0.14314210350943996,0.09751259331894577,music80_04_tonality_28,312.646240234375,0.014816618524491787,1.0,0.016827601939439774,1.0
music80_04_tonality,29,8.365815162658691,115.82140625,6400,6355,0.19352925714451352,0.14565966509128306,0.09989290289094821,music80_04_tonality_29,386.8499450683594,0.01007748395204544,1.0,0.010808229446411133,1.0
music80_04_tonality,30,8.370184898376465,114.1623125,32000,31601,0.1916916590968558,0.1474156242540415,0.10170368002722173,music80_04_tonality_30,400.73638916015625,0.00834664050489664,1.0,0.010912910103797913,1.0
music80_04_tonality,31,8.378876686096191,112.25875,6400,6328,0.18979033236326662,0.15000230187986147,0.10450738547636991,music80_04_tonality_31,439.19830322265625,0.006951361428946257,1.0,0.006872669328004122,1.0
music80_04_tonality,32,8.36040210723877,113.6959375,6400,6342,0.187997448990975,0.1526186177649047,0.10695860100021903,music80_04_tonality_32,404.8808288574219,0.006547363940626383,1.0,0.0054503921419382095,1.0
music80_04_tonality,33,8.375021934509277,113.66921875,6400,6354,0.18524779998641897,0.1551459845037459,0.10892979482849721,music80_04_tonality_33,360.27178955078125,0.005069973412901163,1.0,0.004607543349266052,1.0
music80_04_tonality,34,8.384825706481934,112.97171875,6400,6341,0.17954247670252194,0.16011558602485615,0.11494026080461729,music80_04_tonality_34,438.9304504394531,0.012751994654536247,1.0,0.004222780931740999,1.0
music80_04_tonality,35,8.394444465637207,113.468125,6400,6339,0.17556542993295524,0.16299568913497978,0.11821860652545438,music80_04_tonality_35,452.4336242675781,0.0039050078485161066,1.0,0.004914902150630951,1.0
music80_04_tonality,36,8.396101951599121,114.156875,6400,6361,0.17534605638002,0.16654629884607808,0.12036488129844738,music80_04_tonality_36,445.4974365234375,0.0033575696870684624,1.0,0.0031673009507358074,1.0
music80_04_tonality,37,8.348875045776367,115.631875,6400,6356,0.1753979676533966,0.16808677497041202,0.12242104103661176,music80_04_tonality_37,475.7760009765625,0.003261587116867304,1.0,0.0028276105877012014,1.0
music80_04_tonality,38,8.362701416015625,115.859375,6400,6344,0.1738392939549454,0.17250724940779386,0.12636141985034058,music80_04_tonality_38,456.57806396484375,0.002542535774409771,1.0,0.002567323623225093,1.0
music80_04_tonality,39,8.34472370147705,116.28734375,6400,6337,0.17228099451845857,0.17405588932891738,0.129502853417899,music80_04_tonality_39,462.0374755859375,0.0025656470097601414,1.0,0.002405088394880295,1.0
music80_04_tonality,40,8.328032493591309,117.0276875,32000,31653,0.16925339731982045,0.1777057429681412,0.13374667958918307,music80_04_tonality_40,496.34234619140625,0.002579551888629794,1.0,0.0019831317476928234,1.0
music80_04_tonality,41,8.329706192016602,119.0778125,6400,6355,0.16731640274750562,0.18267139853786568,0.13859586887002098,music80_04_tonality_41,544.6646728515625,0.0018207256216555834,1.0,0.0017351919086650014,1.0
music80_04_tonality,42,8.296703338623047,119.56125,6400,6357,0.16520621428296842,0.187576499875611,0.1432096954626099,music80_04_tonality_42,495.2757873535156,0.001962504582479596,1.0,0.0017660222947597504,1.0
music80_04_tonality,43,8.315410614013672,118.198125,6400,6354,0.1634587340281685,0.1909245651016062,0.14698988562348203,music80_04_tonality_43,565.2591552734375,0.001859363866969943,1.0,0.0016582566313445568,1.0
music80_04_tonality,44,8.313802719116211,118.14046875,6400,6344,0.16263899584820432,0.1919959879196244,0.14991826940866446,music80_04_tonality_44,499.12237548828125,0.001518764765933156,1.0,0.0014051347970962524,1.0
music80_04_tonality,45,8.306212425231934,118.380625,6400,6356,0.15801336574768896,0.19722462783273215,0.15522337445705822,music80_04_tonality_45,564.1390991210938,0.0013066305546090007,1.0,0.0013016050215810537,1.0
music80_04_tonality,46,8.327559471130371,115.83734375,6400,6345,0.1563492230610928,0.1999412437807856,0.1582118994639869,music80_04_tonality_46,615.8359375,0.0012207400286570191,1.0,0.0015612095594406128,1.0
music80_04_tonality,47,8.340352058410645,116.575,6400,6348,0.15363361935029435,0.20386354021329633,0.16345055025140864,music80_04_tonality_47,632.4022216796875,0.0011028635781258345,1.0,0.0011511030606925488,1.0
music80_04_tonality,48,8.344819068908691,116.44796875,6400,6356,0.15204778898319538,0.21003316182668721,0.1696088464334272,music80_04_tonality_48,615.4246826171875,0.0020718940068036318,1.0,0.0017754625296220183,1.0
music80_04_tonality,49,8.321527481079102,116.1278125,6400,6362,0.14998387779918654,0.21485662061777688,0.17371124236950614,music80_04_tonality_49,631.60693359375,0.002830572659149766,1.0,0.0014248215593397617,1.0
music80_04_tonality,50,8.329660415649414,116.632125,32000,31670,0.147144439459795,0.21736932841144796,0.17745540235364646,music80_04_tonality_50,606.1342163085938,0.0013211640762165189,1.0,0.0012342246482148767,1.0
music80_04_tonality,51,8.32601261138916,116.83046875,6400,6361,0.143582508492798,0.2204808218572851,0.18059827633912862,music80_04_tonality_51,647.1318359375,0.0015976617578417063,1.0,0.001129630720242858,1.0
music80_04_tonality,52,8.336647033691406,117.35796875,6400,6350,0.14174763075584051,0.2266178533031939,0.18696664394445117,music80_04_tonality_52,705.7247314453125,0.0010854370193555951,1.0,0.0010605049319565296,1.0
music80_04_tonality,53,8.307459831237793,119.30640625,6400,6352,0.13851997530959245,0.22833601048220598,0.18875725100609608,music80_04_tonality_53,689.8671875,0.0010328940115869045,1.0,0.0011973974760621786,1.0
