exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0
music80_02_ratio-of-steps,57,8.460600852966309,163.02859375,6400,6368,0.5148110023000411,0.06679194777405077,0.026014474144259236,music80_02_ratio-of-steps_57,2437.4306640625,0.008880636654794216,1.0
music80_02_ratio-of-steps,58,8.447543144226074,161.06703125,6400,6347,0.5154143411922492,0.06644354744976985,0.025320111236686645,music80_02_ratio-of-steps_58,2622.692626953125,0.006943029817193747,1.0
music80_02_ratio-of-steps,59,8.428491592407227,165.82328125,6400,6362,0.5225938477764226,0.06460424393765254,0.024008605095684307,music80_02_ratio-of-steps_59,2616.978271484375,0.007420698180794716,1.0
music80_02_ratio-of-steps,60,8.399856567382812,168.26328125,32000,31755,0.5271228961812823,0.06455067491904191,0.02429215992788008,music80_02_ratio-of-steps_60,2719.853515625,0.006324356887489557,1.0
music80_02_ratio-of-steps,61,8.412659645080566,167.8290625,6400,6353,0.5277567005550433,0.06445626580014707,0.02452600837701817,music80_02_ratio-of-steps_61,2650.03955078125,0.005402897950261831,1.0
music80_02_ratio-of-steps,62,8.370616912841797,168.7778125,6400,6362,0.5291178494598122,0.06407507380902631,0.023951442491839003,music80_02_ratio-of-steps_62,2352.767578125,0.005155701190233231,1.0
music80_02_ratio-of-steps,63,8.383228302001953,164.9309375,6400,6357,0.5289415444822227,0.06408898315306516,0.02360568075388331,music80_02_ratio-of-steps_63,2286.6689453125,0.005910743493586779,1.0
music80_02_ratio-of-steps,64,8.387007713317871,161.41796875,6400,6363,0.5334899346532154,0.06383640602359116,0.022830279403395135,music80_02_ratio-of-steps_64,2262.2900390625,0.00416477071121335,1.0
music80_02_ratio-of-steps,65,8.424283027648926,157.34921875,6400,6364,0.5366453525874155,0.0632672631784036,0.0238762282073158,music80_02_ratio-of-steps_65,2546.344482421875,0.0038684417959302664,1.0
music80_02_ratio-of-steps,66,8.405010223388672,155.549375,6400,6368,0.5333203625400631,0.06461830683598746,0.02361350050976959,music80_02_ratio-of-steps_66,2606.77490234375,0.004037353675812483,1.0
music80_02_ratio-of-steps,67,8.429062843322754,151.2325,6400,6369,0.5351713805036747,0.06385231821121805,0.023199569696324005,music80_02_ratio-of-steps_67,2501.95361328125,0.0031661309767514467,1.0
music80_02_ratio-of-steps,68,8.45256519317627,148.275625,6400,6357,0.5370581017397695,0.06455402112611396,0.023371157018951337,music80_02_ratio-of-steps_68,2038.0224609375,0.0029606204479932785,1.0
music80_02_ratio-of-steps,69,8.456171989440918,146.70109375,6400,6364,0.5384961335000199,0.06314519825377257,0.02293939825650834,music80_02_ratio-of-steps_69,2173.33740234375,0.0027749002911150455,1.0
music80_02_ratio-of-steps,70,8.477861404418945,142.48875,32000,31761,0.5409019177381437,0.06340518227388293,0.023211147378897925,music80_02_ratio-of-steps_70,2419.8427734375,0.0025062761269509792,1.0
music80_02_ratio-of-steps,71,8.482613563537598,140.39859375,6400,6369,0.545620569864689,0.06166109286505454,0.02230716327922902,music80_02_ratio-of-steps_71,2258.376220703125,0.002355862408876419,1.0
music80_02_ratio-of-steps,72,8.504127502441406,136.984375,6400,6353,0.546008830897804,0.06292796080098376,0.02265008507013241,music80_02_ratio-of-steps_72,2166.239013671875,0.0033997695427387953,1.0
music80_02_ratio-of-steps,73,8.496443748474121,135.65578125,6400,6360,0.550378629213972,0.06185435096223989,0.022924013674379823,music80_02_ratio-of-steps_73,2111.8359375,0.001995173981413245,1.0
music80_02_ratio-of-steps,74,8.4908447265625,135.80203125,6400,6370,0.5529951353316003,0.06321279170297994,0.02157254347608533,music80_02_ratio-of-steps_74,2113.97998046875,0.0018029834609478712,1.0
music80_02_ratio-of-steps,75,8.513313293457031,131.44890625,6400,6356,0.5529966635314177,0.06252889103145694,0.022148699276738234,music80_02_ratio-of-steps_75,2003.092041015625,0.001787553308531642,1.0
music80_02_ratio-of-steps,76,8.533387184143066,133.38390625,6400,6362,0.5574938226717638,0.06083867780677755,0.021038248677134785,music80_02_ratio-of-steps_76,2069.271484375,0.001597890048287809,1.0
music80_02_ratio-of-steps,77,8.523797988891602,132.138125,6400,6361,0.5603798933661825,0.06040266770078959,0.02116248883509485,music80_02_ratio-of-steps_77,2031.6868896484375,0.0014731708215549588,1.0
music80_02_ratio-of-steps,78,8.530885696411133,130.71515625,6400,6358,0.5659166447296877,0.06014727844229535,0.02044661660506915,music80_02_ratio-of-steps_78,2024.7982177734375,0.0014456073986366391,1.0
music80_02_ratio-of-steps,79,8.527643203735352,132.5021875,6400,6351,0.565334551971947,0.06076556522619783,0.020541985461785175,music80_02_ratio-of-steps_79,2154.96044921875,0.0022684470750391483,1.0
music80_02_ratio-of-steps,80,8.512699127197266,136.05753125,32000,31759,0.5696255611503837,0.05990045733970365,0.020232938602698654,music80_02_ratio-of-steps_80,2240.163330078125,0.001225717831403017,1.0
music80_02_ratio-of-steps,81,8.507148742675781,139.66265625,6400,6370,0.5739362435962985,0.058879355320114124,0.01974312864141189,music80_02_ratio-of-steps_81,2285.27392578125,0.0011569130001589656,1.0
music80_02_ratio-of-steps,82,8.463128089904785,146.026875,6400,6372,0.5802857072293438,0.05931909477031076,0.019417047475000008,music80_02_ratio-of-steps_82,2497.7509765625,0.0012201981153339148,1.0
music80_02_ratio-of-steps,83,8.452335357666016,150.1178125,6400,6369,0.5831274205942694,0.05795319984431666,0.01858648850176319,music80_02_ratio-of-steps_83,2612.001953125,0.0010140863014385104,1.0
music80_02_ratio-of-steps,84,8.423754692077637,156.843125,6400,6353,0.5799912685772649,0.057961657163727816,0.01899036487531467,music80_02_ratio-of-steps_84,2540.212646484375,0.0010266589233651757,1.0
music80_02_ratio-of-steps,85,8.399415016174316,162.82828125,6400,6366,0.5851263660041695,0.05699601083726697,0.018583879262542388,music80_02_ratio-of-steps_85,2791.353515625,0.0009151453268714249,1.0
music80_02_ratio-of-steps,86,8.365443229675293,166.00984375,6400,6357,0.5859444242316943,0.057346666038534465,0.018873800992294874,music80_02_ratio-of-steps_86,2850.47900390625,0.0008865319541655481,1.0
music80_02_ratio-of-steps,87,8.324006080627441,173.7446875,6400,6371,0.5886841746120784,0.056999679003510634,0.0185339960115587,music80_02_ratio-of-steps_87,2922.967529296875,0.000854249345138669,1.0
music80_02_ratio-of-steps,88,8.286972045898438,185.1221875,6400,6363,0.5903005686969354,0.054924887620571176,0.017257696859408683,music80_02_ratio-of-steps_88,2455.52685546875,0.0008111720671877265,1.0
music80_02_ratio-of-steps,89,8.178544998168945,202.61203125,6400,6376,0.5925324005796216,0.05576061928686908,0.017057368337430795,music80_02_ratio-of-steps_89,3203.711181640625,0.000894311408046633,1.0
music80_02_ratio-of-steps,90,8.170701026916504,206.46296875,32000,31803,0.5943995521942868,0.05484302689642854,0.017199291404090617,music80_02_ratio-of-steps_90,3163.054443359375,0.0006866620969958603,1.0
music80_02_ratio-of-steps,91,8.119175910949707,214.95546875,6400,6368,0.5957812274912224,0.0544657803542486,0.01658729484760499,music80_02_ratio-of-steps_91,3406.826171875,0.0008081084815785289,1.0
music80_02_ratio-of-steps,92,8.057073593139648,228.69109375,6400,6361,0.5968235907329451,0.053958502209265596,0.016564023961851734,music80_02_ratio-of-steps_92,3367.794189453125,0.0006025306647643447,1.0
music80_02_ratio-of-steps,93,8.025694847106934,233.53359375,6400,6366,0.5973213199246847,0.05424446820593982,0.016339074791175266,music80_02_ratio-of-steps_93,3801.234375,0.0005960181588307023,1.0
music80_02_ratio-of-steps,94,8.016975402832031,237.5715625,6400,6376,0.5979855116966506,0.05447253536218847,0.016584735721792313,music80_02_ratio-of-steps_94,3279.29345703125,0.0006653541349805892,1.0
music80_02_ratio-of-steps,95,8.030695915222168,236.54046875,6400,6359,0.5995358259215088,0.05376046273811081,0.01628546278222771,music80_02_ratio-of-steps_95,3424.06005859375,0.001053794170729816,1.0
music80_02_ratio-of-steps,96,8.040386199951172,229.43828125,6400,6368,0.603709341863548,0.053256342167091894,0.016282128803892137,music80_02_ratio-of-steps_96,3579.26416015625,0.0011152861407026649,1.0
music80_02_ratio-of-steps,97,8.028279304504395,230.01609375,6400,6374,0.6068598177818428,0.053861237161674146,0.016399667774469804,music80_02_ratio-of-steps_97,3655.4169921875,0.0012832310749217868,1.0
music80_02_ratio-of-steps,98,8.023075103759766,231.4778125,6400,6379,0.6039313812240749,0.052535112463603484,0.01587961958740432,music80_02_ratio-of-steps_98,3747.616455078125,0.0010433377465233207,1.0
music80_02_ratio-of-steps,99,8.036884307861328,232.28390625,6400,6375,0.6046134579788022,0.05406339131409612,0.016442948811071334,music80_02_ratio-of-steps_99,3348.20703125,0.0008552046492695808,1.0
music80_02_ratio-of-steps,100,8.052650451660156,227.373625,32000,31813,0.6040729916499583,0.053830884187697006,0.016336650959054132,music80_02_ratio-of-steps_100,3652.322998046875,0.0008399157668463886,1.0
music80_02_ratio-of-steps,101,8.0682373046875,219.5409375,6400,6375,0.6028483298150428,0.054467565941013846,0.015994978569553044,music80_02_ratio-of-steps_101,3605.904541015625,0.0008713036659173667,1.0
music80_02_ratio-of-steps,102,8.098183631896973,214.9490625,6400,6369,0.6056244388642921,0.055063026453301356,0.01650389941263801,music80_02_ratio-of-steps_102,2924.910888671875,0.000794510415289551,1.0
music80_02_ratio-of-steps,103,8.121524810791016,211.4403125,6400,6372,0.6058585931220545,0.05380876806464226,0.015532576609846962,music80_02_ratio-of-steps_103,3297.6806640625,0.0007259679259732366,1.0
music80_02_ratio-of-steps,104,8.133670806884766,208.3321875,6400,6372,0.6043474108824541,0.05465688222453466,0.01662724776584707,music80_02_ratio-of-steps_104,3041.432861328125,0.0006731041939929128,1.0
music80_02_ratio-of-steps,105,8.165596961975098,200.566875,6400,6381,0.6079731785165533,0.05472125248448956,0.0165307283939783,music80_02_ratio-of-steps_105,3090.376953125,0.000638339202851057,1.0
music80_02_ratio-of-steps,106,8.152334213256836,198.78890625,6400,6369,0.6061766694160718,0.05434796185243764,0.016396591160297173,music80_02_ratio-of-steps_106,3102.8544921875,0.0006145690567791462,1.0
music80_02_ratio-of-steps,107,8.205270767211914,194.5365625,6400,6371,0.6065435997405477,0.053909237024250115,0.016173637104625715,music80_02_ratio-of-steps_107,3020.0498046875,0.0006271055899560452,1.0
music80_02_ratio-of-steps,108,8.144246101379395,201.6640625,6400,6376,0.6056079817030724,0.0541397088424028,0.01570228990901657,music80_02_ratio-of-steps_108,2855.060546875,0.0005626020720228553,1.0
