exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0
music80_00_melodicity,0,8.487300872802734,101.05978125,32000,30116,0.2836023643175014,0.09459589578999429,0.05194676948108283,music80_00_melodicity_0,635.8707275390625,0,0
music80_00_melodicity,1,8.469691276550293,101.06296875,6400,6110,0.28621992611089,0.09522690915342455,0.05255177595217493,music80_00_melodicity_1,536.123779296875,0,0
music80_00_melodicity,2,8.492002487182617,96.41734375,6400,6092,0.2862347053752612,0.09528553780359587,0.05219176746745538,music80_00_melodicity_2,533.3887939453125,0,0
music80_00_melodicity,3,8.481487274169922,96.47484375,6400,6104,0.28466850048148323,0.09889600392261616,0.05519613940752668,music80_00_melodicity_3,487.30303955078125,0,0
music80_00_melodicity,4,8.468545913696289,96.0678125,6400,6088,0.28313696681097617,0.09963390180658215,0.05525796103209297,music80_00_melodicity_4,594.0166015625,0,0
music80_00_melodicity,5,8.472298622131348,95.82125,6400,6119,0.28140157382216063,0.10020426064239991,0.0566116045910595,music80_00_melodicity_5,537.565673828125,0,0
music80_00_melodicity,6,8.458268165588379,96.10125,6400,6090,0.27406277598416723,0.10211611584675523,0.05807165003069678,music80_00_melodicity_6,618.34619140625,0,0
music80_00_melodicity,7,8.439382553100586,98.2965625,6400,6110,0.2763690974241767,0.10327944739770147,0.06017196430161887,music80_00_melodicity_7,734.2023315429688,0,0
music80_00_melodicity,8,8.457275390625,101.163125,6400,6140,0.2802533758623951,0.10516099692765955,0.062301046636589176,music80_00_melodicity_8,677.1859130859375,0,0
music80_00_melodicity,9,8.42394733428955,100.91625,6400,6174,0.2726199412550425,0.10917610632121809,0.06463118138914838,music80_00_melodicity_9,678.4695434570312,0,0
music80_00_melodicity,10,8.431402206420898,101.52109375,32000,30331,0.27165794333891563,0.1084796875179527,0.06354985996903001,music80_00_melodicity_10,716.6443481445312,0,0
music80_00_melodicity,11,8.446089744567871,101.00140625,6400,6123,0.2711067616640518,0.10951122654078875,0.06519167519966519,music80_00_melodicity_11,802.431640625,0,0
music80_00_melodicity,12,8.433311462402344,103.15421875,6400,6131,0.26994666285725555,0.1136331381045089,0.0683446590351047,music80_00_melodicity_12,653.9912719726562,0,0
music80_00_melodicity,13,8.44775676727295,106.52125,6400,6202,0.2683929414447489,0.11363549694029233,0.06717244925821644,music80_00_melodicity_13,667.2118530273438,0,0
music80_00_melodicity,14,8.400060653686523,111.82015625,6400,6206,0.26948513787820955,0.1156530389566707,0.06980646717791862,music80_00_melodicity_14,804.9779663085938,0,0
