exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
music80_08_tonality,0,8.436622619628906,108.986625,32000,31428,0.28251118130595315,0.09847677858945736,0.05225180170346929,music80_08_tonality_0,96.56348419189453,0.626940131187439,1.0,0.603844165802002,1.0,0.5780799984931946,1.0,0.5476303696632385,1.0
music80_08_tonality,1,8.356718063354492,116.3796875,6400,6325,0.2829524335569987,0.09909474433899891,0.052835920983095266,music80_08_tonality_1,90.76778411865234,0.5232352018356323,1.0,0.5011252760887146,1.0,0.47413012385368347,1.0,0.48682886362075806,1.0
music80_08_tonality,2,8.294280052185059,122.016875,6400,6337,0.2767957948445973,0.09782927099358601,0.052079557024758506,music80_08_tonality_2,90.14500427246094,0.43035945296287537,1.0,0.40624672174453735,1.0,0.38470226526260376,1.0,0.37550315260887146,1.0
music80_08_tonality,3,8.285602569580078,124.01515625,6400,6334,0.27716385174876257,0.10024781094023684,0.05417294738768082,music80_08_tonality_3,182.9853515625,0.3480081856250763,1.0,0.3285229802131653,1.0,0.30924639105796814,1.0,0.2923877537250519,1.0
music80_08_tonality,4,8.284185409545898,124.46875,6400,6332,0.2738435479463813,0.1011694652051278,0.05407895652080488,music80_08_tonality_4,115.90355682373047,0.2837044298648834,1.0,0.2583672106266022,1.0,0.24464716017246246,1.0,0.22764870524406433,1.0
music80_08_tonality,5,8.305190086364746,120.73125,6400,6331,0.2684216543873636,0.10133643999650717,0.055275679463388766,music80_08_tonality_5,121.06597900390625,0.2205030471086502,1.0,0.20287877321243286,1.0,0.19389472901821136,1.0,0.1771925836801529,1.0
music80_08_tonality,6,8.326445579528809,118.8225,6400,6323,0.2708208327202554,0.10315179201297636,0.05520761718846725,music80_08_tonality_6,89.73736572265625,0.16459189355373383,1.0,0.1550525575876236,1.0,0.1449291855096817,1.0,0.13642342388629913,1.0
music80_08_tonality,7,8.34982681274414,116.3275,6400,6346,0.26695906909998807,0.1031162030367502,0.057696311584334144,music80_08_tonality_7,88.66844177246094,0.1241062581539154,1.0,0.1164289116859436,1.0,0.1119789332151413,1.0,0.1007714793086052,1.0
music80_08_tonality,8,8.377013206481934,114.6490625,6400,6337,0.26820905059891187,0.10430183870114633,0.058433103845923,music80_08_tonality_8,90.05000305175781,0.09573929011821747,1.0,0.0873648002743721,1.0,0.08959630131721497,1.0,0.07410846650600433,1.0
music80_08_tonality,9,8.373517036437988,113.64421875,6400,6337,0.26567935471099347,0.1045859502944585,0.05812904038259367,music80_08_tonality_9,67.31018829345703,0.06723016500473022,1.0,0.06307579576969147,1.0,0.057157814502716064,1.0,0.05295972153544426,1.0
