exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
music80_04_ratio-of-steps,15,8.5615234375,126.15921875,6400,6324,0.38740056975358184,0.08363956262956256,0.04255615115075539,music80_04_ratio-of-steps_15,1311.2232666015625,0.1002073660492897,1.0,0.09048106521368027,1.0
music80_04_ratio-of-steps,16,8.531514167785645,129.48671875,6400,6336,0.3951565065351446,0.08221804686728433,0.0412689820968793,music80_04_ratio-of-steps_16,1326.2828369140625,0.08733607083559036,1.0,0.07924140244722366,1.0
music80_04_ratio-of-steps,17,8.55983829498291,131.8503125,6400,6348,0.3994731410333553,0.08053651096137118,0.040456500671887795,music80_04_ratio-of-steps_17,1529.332275390625,0.07154279947280884,1.0,0.06524120271205902,1.0
music80_04_ratio-of-steps,18,8.567015647888184,131.8121875,6400,6350,0.40734760564722877,0.0804441922626474,0.03968366974904249,music80_04_ratio-of-steps_18,1271.0352783203125,0.06012126803398132,1.0,0.054464031010866165,1.0
music80_04_ratio-of-steps,19,8.585366249084473,135.62515625,6400,6344,0.41223707569066337,0.08118296998606195,0.03910167122938954,music80_04_ratio-of-steps_19,1543.943359375,0.050029318779706955,1.0,0.04565984383225441,1.0
music80_04_ratio-of-steps,20,8.566863059997559,137.59184375,32000,31575,0.4168679548866204,0.07950047343772798,0.038158978740551984,music80_04_ratio-of-steps_20,1584.3583984375,0.04408716410398483,1.0,0.038841262459754944,1.0
music80_04_ratio-of-steps,21,8.560983657836914,142.09515625,6400,6346,0.42087709435926,0.07861614636708483,0.036891244896422405,music80_04_ratio-of-steps_21,1434.045654296875,0.03492065891623497,1.0,0.032647792249917984,1.0
music80_04_ratio-of-steps,22,8.529764175415039,141.86796875,6400,6343,0.431261172233558,0.07848723801839119,0.03727961091713466,music80_04_ratio-of-steps_22,1833.4847412109375,0.02894546091556549,1.0,0.026200786232948303,1.0
music80_04_ratio-of-steps,23,8.545365333557129,143.38078125,6400,6352,0.43032121871964646,0.07843396352120602,0.03668718447691043,music80_04_ratio-of-steps_23,1539.92431640625,0.023796046152710915,1.0,0.023314567282795906,1.0
music80_04_ratio-of-steps,24,8.54602336883545,145.69640625,6400,6347,0.43935936841972195,0.07731625364169636,0.036068531489210125,music80_04_ratio-of-steps_24,1714.72314453125,0.01975795067846775,1.0,0.017980976030230522,1.0
