exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_melodicity,0,8.422819137573242,110.533,32000,31485,0.2938457781912661,0.0948086457936709,0.05317783829731137,music80_06_melodicity_0,321.86114501953125,0.6466959714889526,1.0,0.6188766956329346,1.0,0.6017172336578369,1.0
music80_06_melodicity,1,8.385882377624512,117.536875,6400,6334,0.2864079079168058,0.09621009586324533,0.05422648891409649,music80_06_melodicity_1,274.0076599121094,0.566674530506134,1.0,0.5406482815742493,1.0,0.5218061804771423,1.0
music80_06_melodicity,2,8.384822845458984,124.73546875,6400,6349,0.28612184666398205,0.09674906429205621,0.05320705975632139,music80_06_melodicity_2,323.17572021484375,0.5548030138015747,0.9583333730697632,0.4683757722377777,1.0,0.4516673684120178,1.0
music80_06_melodicity,3,8.387801170349121,126.5278125,6400,6357,0.27951849745665613,0.09724328825615312,0.05447271778127009,music80_06_melodicity_3,246.02903747558594,0.42445018887519836,1.0,0.401577889919281,1.0,0.3809889853000641,1.0
music80_06_melodicity,4,8.403338432312012,125.82625,6400,6354,0.27557580990550407,0.0994881157392571,0.055358592634279065,music80_06_melodicity_4,249.59239196777344,0.36264777183532715,1.0,0.3618330657482147,1.0,0.3222036361694336,1.0
music80_06_melodicity,5,8.450152397155762,121.5659375,6400,6344,0.27086849619643977,0.10001896628846463,0.05445888624392738,music80_06_melodicity_5,338.7227783203125,0.30431365966796875,1.0,0.288155198097229,1.0,0.2715991735458374,1.0
music80_06_melodicity,6,8.481534004211426,119.74484375,6400,6353,0.2696414031801339,0.09821236057804833,0.053871100101894526,music80_06_melodicity_6,262.58526611328125,0.2578236162662506,1.0,0.24182270467281342,1.0,0.22411733865737915,1.0
music80_06_melodicity,7,8.487000465393066,115.64203125,6400,6340,0.2672074883982539,0.0988336836864904,0.054293909827907445,music80_06_melodicity_7,297.7071228027344,0.21308541297912598,1.0,0.19775639474391937,1.0,0.1871376782655716,1.0
music80_06_melodicity,8,8.5119047164917,115.33828125,6400,6324,0.2608130579984414,0.10013981507129228,0.055439115817742975,music80_06_melodicity_8,304.4496154785156,0.17364124953746796,1.0,0.16310837864875793,1.0,0.15488047897815704,1.0
music80_06_melodicity,9,8.566617012023926,113.55765625,6400,6332,0.2610865762125145,0.10342622969774878,0.05764821879651279,music80_06_melodicity_9,274.66339111328125,0.14228150248527527,1.0,0.13265763223171234,1.0,0.1283675581216812,1.0
music80_06_melodicity,10,8.544729232788086,113.4721875,32000,31549,0.25936468941067603,0.10365484831262335,0.058366949538997605,music80_06_melodicity_10,264.07012939453125,0.11316591501235962,1.0,0.10801243782043457,1.0,0.10190649330615997,1.0
music80_06_melodicity,11,8.550647735595703,110.36671875,6400,6344,0.25638210352368695,0.10404004235369946,0.05730126007599816,music80_06_melodicity_11,238.5873260498047,0.09404652565717697,1.0,0.08768091350793839,1.0,0.07962578535079956,1.0
music80_06_melodicity,12,8.553365707397461,109.7784375,6400,6325,0.25510333243726124,0.10495406821427278,0.05899985836497773,music80_06_melodicity_12,271.74041748046875,0.07206306606531143,1.0,0.07066405564546585,1.0,0.06143992766737938,1.0
music80_06_melodicity,13,8.554723739624023,109.02765625,6400,6343,0.2558612781118612,0.10640894216911434,0.06080050565080782,music80_06_melodicity_13,248.52841186523438,0.05633537098765373,1.0,0.05266226828098297,1.0,0.049705952405929565,1.0
music80_06_melodicity,14,8.560312271118164,108.758125,6400,6338,0.256260002886945,0.10707599749922299,0.06022518194637477,music80_06_melodicity_14,296.68572998046875,0.04464941844344139,1.0,0.04210568964481354,1.0,0.038366980850696564,1.0
music80_06_melodicity,15,8.570723533630371,110.02734375,6400,6339,0.2572433924723843,0.10951228720899728,0.06159668825255093,music80_06_melodicity_15,280.1581726074219,0.03554649278521538,1.0,0.03372920677065849,1.0,0.029687341302633286,1.0
music80_06_melodicity,16,8.560493469238281,110.074375,6400,6332,0.25444411882391677,0.11041655459093304,0.06264437361446287,music80_06_melodicity_16,284.29522705078125,0.03008284792304039,1.0,0.02500804327428341,1.0,0.02270498313009739,1.0
