exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
music80_08_melodicity,31,8.51349925994873,92.2628125,6400,6344,0.2537716603327357,0.13570051706222308,0.07610942556831407,music80_08_melodicity_31,146.7944793701172,0.004360375925898552,1.0,0.001675472129136324,1.0,0.0014355513267219067,1.0,0.0013752217637374997,1.0
music80_08_melodicity,32,8.498587608337402,91.4928125,6400,6334,0.25160685996875176,0.13804213791681463,0.07755628688769713,music80_08_melodicity_32,141.9048309326172,0.0016322873998433352,1.0,0.0015177237801253796,1.0,0.0016795872943475842,1.0,0.0014480833197012544,1.0
music80_08_melodicity,33,8.497899055480957,89.1040625,6400,6330,0.2510025012776022,0.14032559173601,0.07920705304370389,music80_08_melodicity_33,142.96307373046875,0.0013784129405394197,1.0,0.0014008821453899145,1.0,0.0018141823820769787,1.0,0.00135586760006845,1.0
music80_08_melodicity,34,8.498607635498047,89.11328125,6400,6335,0.2497257688248626,0.14367986866282964,0.0813263149432343,music80_08_melodicity_34,138.87875366210938,0.0011735174339264631,1.0,0.0011396677000448108,1.0,0.0012286590645089746,1.0,0.0010855498258024454,1.0
music80_08_melodicity,35,8.48570442199707,87.07984375,6400,6342,0.25264988304081776,0.14317063376699743,0.0816408516666413,music80_08_melodicity_35,143.90570068359375,0.001076792017556727,1.0,0.0011546439491212368,1.0,0.001003288198262453,1.0,0.001125255599617958,1.0
music80_08_melodicity,36,8.507370948791504,84.78859375,6400,6330,0.24823566377372544,0.14473246221174668,0.0833367192737425,music80_08_melodicity_36,145.2603302001953,0.0010144580155611038,1.0,0.000931748014409095,1.0,0.0008929184987209737,1.0,0.0009661964140832424,1.0
music80_08_melodicity,37,8.517786979675293,83.5684375,6400,6335,0.25216569149245766,0.14788751480172949,0.08411070748565029,music80_08_melodicity_37,173.30348205566406,0.0019775638356804848,1.0,0.001013715984299779,1.0,0.0011492588091641665,1.0,0.0010427910601720214,1.0
music80_08_melodicity,38,8.518835067749023,83.86015625,6400,6343,0.25096873294287325,0.14631999719381056,0.08411797313045968,music80_08_melodicity_38,145.1217803955078,0.0009614443406462669,1.0,1.7986106872558594,0.7083333730697632,0.001113529084250331,1.0,0.0010392260737717152,1.0
music80_08_melodicity,39,8.539149284362793,83.83421875,6400,6329,0.2516191257595671,0.14837126014203034,0.08499353279569678,music80_08_melodicity_39,147.36236572265625,0.0014591258950531483,1.0,0.001095086568966508,1.0,0.0016163771506398916,1.0,0.0011205176124349236,1.0
music80_08_melodicity,40,8.535318374633789,82.3683125,32000,31475,0.25151418063830056,0.15121342185241127,0.08652362440184612,music80_08_melodicity_40,131.7829132080078,0.0010410001268610358,1.0,0.0009184432565234601,1.0,0.0009090143139474094,1.0,0.0009394355583935976,1.0
music80_08_melodicity,41,8.558252334594727,82.1009375,6400,6337,0.25296151752008134,0.153088532743742,0.08687999429214784,music80_08_melodicity_41,164.48609924316406,0.0008721126359887421,1.0,0.0009106270154006779,1.0,0.0008636065758764744,1.0,0.0008790831780061126,1.0
music80_08_melodicity,42,8.56370735168457,82.5384375,6400,6349,0.2542789601877323,0.15310707992591738,0.08803033394079574,music80_08_melodicity_42,163.80201721191406,0.0014724117936566472,1.0,0.0009343791753053665,1.0,0.0008568859775550663,1.0,0.0008433634066022933,1.0
music80_08_melodicity,43,8.5126371383667,83.71109375,6400,6334,0.25724533621894236,0.15436175387575152,0.08914680001952557,music80_08_melodicity_43,143.44741821289062,0.0008272848790511489,1.0,0.0008433147449977696,1.0,0.006215982139110565,1.0,0.0009703079704195261,1.0
music80_08_melodicity,44,8.543218612670898,84.1478125,6400,6342,0.25552678122906225,0.153518876204828,0.09014947613810481,music80_08_melodicity_44,144.21493530273438,0.0008110609487630427,1.0,0.0008487923187203705,1.0,0.0010208841413259506,1.0,0.0008557625696994364,1.0
music80_08_melodicity,45,8.528035163879395,86.04515625,6400,6338,0.2561300720845609,0.15852576501681687,0.09241944375215962,music80_08_melodicity_45,150.66305541992188,0.000920765392947942,1.0,0.0007926145917735994,1.0,0.001123987720347941,1.0,0.0007945349207147956,1.0
music80_08_melodicity,46,8.527868270874023,86.64484375,6400,6336,0.25724700497548525,0.15628513635176047,0.09021359841463415,music80_08_melodicity_46,147.2620849609375,0.0007833481067791581,1.0,0.0008763045771047473,1.0,0.0008732329006306827,1.0,0.0007681927527301013,1.0
music80_08_melodicity,47,8.5479154586792,86.69015625,6400,6345,0.26104639344156305,0.16110436107244397,0.09415278862675085,music80_08_melodicity_47,146.73193359375,0.0007387047517113388,1.0,0.0007410026737488806,1.0,0.0007514398312196136,1.0,0.0007650986663065851,1.0
music80_08_melodicity,48,8.528301239013672,86.8346875,6400,6350,0.2595232852597119,0.15887767359512908,0.0921595877337746,music80_08_melodicity_48,153.3280029296875,0.0007789376541040838,1.0,0.0007296140538528562,1.0,0.0007208965253084898,1.0,0.0012311309110373259,1.0
music80_08_melodicity,49,8.564177513122559,85.85828125,6400,6344,0.25967964167818536,0.16102174434196215,0.09565677066478877,music80_08_melodicity_49,138.25079345703125,0.0006731555331498384,1.0,0.0007121503003872931,1.0,0.0006713176844641566,1.0,0.0007677749963477254,1.0
music80_08_melodicity,50,8.56021499633789,84.20984375,32000,31582,0.2601899585335757,0.1615284919576453,0.09466475062326074,music80_08_melodicity_50,153.14381408691406,0.008173884823918343,1.0,0.000699685188010335,1.0,0.0011532310163602233,1.0,0.0007182091940194368,1.0
music80_08_melodicity,51,8.583600044250488,82.169375,6400,6343,0.26036021489147204,0.16313086520037992,0.09616551228307042,music80_08_melodicity_51,171.1815185546875,0.0006503635668195784,1.0,0.0007304494502022862,1.0,0.0006573278224095702,1.0,0.0006356965168379247,1.0
music80_08_melodicity,52,8.603409767150879,80.55046875,6400,6342,0.2598718091655345,0.1642417140973763,0.09681717727170383,music80_08_melodicity_52,151.25088500976562,0.0006117644370533526,1.0,0.0006100235623307526,1.0,0.000590172887314111,1.0,0.0006506486097350717,1.0
