exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
music80_10_melodicity,0,8.390637397766113,109.20828125,32000,31563,0.2800832763552227,0.09917951560051856,0.05479997333480089,music80_10_melodicity_0,93.27954864501953,0.6096219420433044,1.0,0.582858145236969,1.0,0.5632497668266296,1.0,0.5329179763793945,1.0,0.5079292058944702,1.0
music80_10_melodicity,1,8.370622634887695,111.8175,6400,6346,0.2825437422386584,0.10012536240327258,0.05500846774980092,music80_10_melodicity_1,37.31901550292969,0.4835589826107025,1.0,0.4758248031139374,1.0,0.43859294056892395,1.0,0.4276997447013855,1.0,0.39071711897850037,1.0
music80_10_melodicity,2,8.38721752166748,110.6409375,6400,6350,0.2834469904373029,0.10048232201516502,0.0543803450722581,music80_10_melodicity_2,73.26879119873047,0.3733457028865814,1.0,0.357382208108902,1.0,0.33190056681632996,1.0,0.3135320842266083,1.0,0.3094801604747772,1.0
music80_10_melodicity,3,8.385845184326172,113.0834375,6400,6357,0.2862590450470979,0.09982523477529036,0.054081776274643584,music80_10_melodicity_3,61.11595916748047,0.287013441324234,1.0,0.2645367383956909,1.0,0.2590391933917999,1.0,0.26652929186820984,1.0,0.22211220860481262,1.0
music80_10_melodicity,4,8.407915115356445,114.91078125,6400,6352,0.2835798960451366,0.10181414256006274,0.05457333063644262,music80_10_melodicity_4,30.140830993652344,0.2044612169265747,1.0,0.19603678584098816,1.0,0.17958049476146698,1.0,0.16818515956401825,1.0,0.16089288890361786,1.0
music80_10_melodicity,5,8.396903038024902,120.0271875,6400,6358,0.28910947445414015,0.1000407462810049,0.05367797931807497,music80_10_melodicity_5,14.362131118774414,0.14687281847000122,1.0,0.13737408816814423,1.0,0.12846598029136658,1.0,0.14444072544574738,1.0,0.11397545039653778,1.0
music80_10_melodicity,6,8.375703811645508,121.61203125,6400,6356,0.2870076452834532,0.10038312558142211,0.05321450550637092,music80_10_melodicity_6,13.591215133666992,0.10427886247634888,1.0,0.09608804434537888,1.0,0.08832075446844101,1.0,0.08228716999292374,1.0,0.07472414523363113,1.0
music80_10_melodicity,7,8.41287612915039,118.55921875,6400,6367,0.2886652536811892,0.1017631313278604,0.053739852012611375,music80_10_melodicity_7,18.262935638427734,0.0752309113740921,1.0,0.06503565609455109,1.0,0.059800997376441956,1.0,0.05655348673462868,1.0,0.050038885325193405,1.0
music80_10_melodicity,8,8.416223526000977,121.52796875,6400,6360,0.2959375666412341,0.1006062026291526,0.05257488396542903,music80_10_melodicity_8,12.199653625488281,0.04958825930953026,1.0,0.042563773691654205,1.0,0.04120815917849541,1.0,0.043531809002161026,1.0,0.0332842580974102,1.0
music80_10_melodicity,9,8.432880401611328,120.90046875,6400,6362,0.2940594171357245,0.10067392734079135,0.05118561800078388,music80_10_melodicity_9,18.190101623535156,0.03321512043476105,1.0,0.028186848387122154,1.0,0.027377238497138023,1.0,0.025773167610168457,1.0,0.02168295718729496,1.0
music80_10_melodicity,10,8.451166152954102,117.45184375,32000,31629,0.297579713685871,0.10025560046450757,0.05125900770109021,music80_10_melodicity_10,80.4360122680664,0.021260902285575867,1.0,0.018833182752132416,1.0,0.026181630790233612,1.0,0.01561815943568945,1.0,0.015765750780701637,1.0
music80_10_melodicity,11,8.476253509521484,115.5884375,6400,6354,0.3000196208282447,0.09942674815343863,0.05007295544106529,music80_10_melodicity_11,1.4564106464385986,0.013610506430268288,1.0,0.01469727884978056,1.0,0.011432098224759102,1.0,0.01024143397808075,1.0,0.01104043610394001,1.0
music80_10_melodicity,12,8.514823913574219,115.5615625,6400,6354,0.299033583626398,0.09961684660691425,0.051128095827023386,music80_10_melodicity_12,0.6371998190879822,0.010493825189769268,1.0,0.009275073185563087,1.0,0.011002627201378345,1.0,0.03078269585967064,1.0,0.00756024569272995,1.0
