exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
music80_08_ratio-of-steps,23,8.65893268585205,84.10609375,6400,6328,0.33727400182752987,0.09740355283354495,0.05444523878136751,music80_08_ratio-of-steps_23,312.40374755859375,0.0024310846347361803,1.0,0.002506631426513195,1.0,0.07281860709190369,0.9583333730697632,0.003124015871435404,1.0
music80_08_ratio-of-steps,24,8.630661964416504,86.88296875,6400,6341,0.3437248942324033,0.09495967434215188,0.05253468470551789,music80_08_ratio-of-steps_24,320.7499084472656,0.0029569873586297035,1.0,0.0033575338311493397,1.0,0.003612627275288105,1.0,0.004560604691505432,1.0
music80_08_ratio-of-steps,25,8.641907691955566,86.795,6400,6336,0.35508982008073653,0.09374335134754905,0.05208788049980535,music80_08_ratio-of-steps_25,292.90093994140625,0.0024535369593650103,1.0,0.003899104194715619,1.0,0.002394892508164048,1.0,0.002655042102560401,1.0
music80_08_ratio-of-steps,26,8.653590202331543,87.3115625,6400,6333,0.3592628336322927,0.09231853986902123,0.04959739100758037,music80_08_ratio-of-steps_26,290.1436767578125,0.002908542286604643,1.0,0.0020752823911607265,1.0,0.0020263392943888903,1.0,0.0026605059392750263,1.0
music80_08_ratio-of-steps,27,8.65838623046875,88.675625,6400,6345,0.36895073326558053,0.09158166358670243,0.04901906004766991,music80_08_ratio-of-steps_27,326.8810729980469,0.001940213143825531,1.0,0.001981797395274043,1.0,0.00182917935308069,1.0,0.0022776538971811533,1.0
music80_08_ratio-of-steps,28,8.645843505859375,90.1125,6400,6340,0.373823508705978,0.09123827639184989,0.048835495238010604,music80_08_ratio-of-steps_28,328.2085876464844,0.0017690494423732162,1.0,0.0018859496340155602,1.0,0.0017342728096991777,1.0,0.0017224482726305723,1.0
music80_08_ratio-of-steps,29,8.656070709228516,90.6746875,6400,6341,0.3812039456053277,0.09104744362618256,0.047849706546584166,music80_08_ratio-of-steps_29,360.05914306640625,0.0017194929532706738,1.0,0.0016579034272581339,1.0,0.0017032237956300378,1.0,0.0016468556132167578,1.0
music80_08_ratio-of-steps,30,8.662899017333984,91.79421875,32000,31570,0.38583340405124816,0.08872375003742822,0.046242471456388996,music80_08_ratio-of-steps_30,355.31524658203125,0.001685632043518126,1.0,0.0015223526861518621,1.0,0.0014602127484977245,1.0,0.0014236019924283028,1.0
music80_08_ratio-of-steps,31,8.653039932250977,94.0071875,6400,6344,0.3905967319117625,0.0876660381762677,0.04467222819577032,music80_08_ratio-of-steps_31,376.6419677734375,0.005714450031518936,1.0,0.001457849284633994,1.0,0.0013485667295753956,1.0,0.0014809159329161048,1.0
music80_08_ratio-of-steps,32,8.673517227172852,95.46359375,6400,6344,0.3954443573031526,0.08726102334786236,0.04422722935352175,music80_08_ratio-of-steps_32,345.76593017578125,0.001709762029349804,1.0,0.0017710841493681073,1.0,0.0020639952272176743,1.0,0.001548458356410265,1.0
