exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
music80_10_ratio-of-steps,0,8.33705997467041,116.49403125,32000,31449,0.2744979453999193,0.09633291665892484,0.052521663499086206,music80_10_ratio-of-steps_0,31.982017517089844,0.6500762701034546,1.0,0.6212565302848816,1.0,0.5956321954727173,1.0,0.569567084312439,1.0,0.5432409048080444,1.0
music80_10_ratio-of-steps,1,8.268521308898926,126.025625,6400,6333,0.27188035162728036,0.09876321321755661,0.05319511492417204,music80_10_ratio-of-steps_1,44.45552062988281,0.5217326283454895,1.0,0.4976326823234558,1.0,0.47807738184928894,1.0,0.4513677656650543,1.0,0.42740365862846375,1.0
music80_10_ratio-of-steps,2,8.295348167419434,124.936875,6400,6331,0.27292362006609927,0.09876569760875674,0.053231969998926425,music80_10_ratio-of-steps_2,27.131061553955078,0.40777307748794556,1.0,0.41601911187171936,1.0,0.37116730213165283,1.0,0.3548627197742462,1.0,0.33534902334213257,1.0
music80_10_ratio-of-steps,3,8.335243225097656,120.7334375,6400,6319,0.27608709278424365,0.09840633909504419,0.05274095763624386,music80_10_ratio-of-steps_3,34.879661560058594,0.31286245584487915,1.0,0.296318382024765,1.0,0.2807126045227051,1.0,0.26779013872146606,1.0,0.2495449036359787,1.0
music80_10_ratio-of-steps,4,8.352054595947266,117.49890625,6400,6313,0.2821376555095981,0.09708718638635962,0.05206332491388554,music80_10_ratio-of-steps_4,19.890384674072266,0.23621512949466705,1.0,0.24531197547912598,1.0,0.21201403439044952,1.0,0.19714270532131195,1.0,0.18681971728801727,1.0
music80_10_ratio-of-steps,5,8.394235610961914,114.88234375,6400,6312,0.2875241110572183,0.09712432906236107,0.05163452701955919,music80_10_ratio-of-steps_5,23.885217666625977,0.175669327378273,1.0,0.16226820647716522,1.0,0.15689298510551453,1.0,0.14123377203941345,1.0,0.1411307454109192,1.0
music80_10_ratio-of-steps,6,8.415885925292969,111.21171875,6400,6308,0.29625799141589026,0.09682378938000553,0.052341667406640105,music80_10_ratio-of-steps_6,13.556594848632812,0.1271892935037613,1.0,0.11433440446853638,1.0,0.10767541825771332,1.0,0.09915010631084442,1.0,0.09421800822019577,1.0
music80_10_ratio-of-steps,7,8.481463432312012,107.40421875,6400,6315,0.29739636586588303,0.09779791986898236,0.052592002474712414,music80_10_ratio-of-steps_7,45.962120056152344,0.08750872313976288,1.0,0.08099428564310074,1.0,0.07548099756240845,1.0,0.0704428106546402,1.0,0.0698113813996315,1.0
music80_10_ratio-of-steps,8,8.480847358703613,104.63890625,6400,6294,0.3029376854946917,0.09653870163429812,0.0520304072356846,music80_10_ratio-of-steps_8,7.125487327575684,0.06046045199036598,1.0,0.05825219303369522,1.0,0.06030966714024544,1.0,0.048143208026885986,1.0,0.04481201246380806,1.0
music80_10_ratio-of-steps,9,8.504816055297852,101.96828125,6400,6316,0.3115818750877749,0.09523378927720103,0.051530175546291745,music80_10_ratio-of-steps_9,15.390217781066895,0.040486425161361694,1.0,0.039239607751369476,1.0,0.03859918564558029,1.0,0.03352078050374985,1.0,0.029336003586649895,1.0
music80_10_ratio-of-steps,10,8.562941551208496,99.91284375,32000,31351,0.31419984389082684,0.09591894166979567,0.05132884067023556,music80_10_ratio-of-steps_10,7.631723880767822,0.027856172993779182,1.0,0.02463977038860321,1.0,0.02436475083231926,1.0,0.021676186472177505,1.0,0.01919945329427719,1.0
music80_10_ratio-of-steps,11,8.554435729980469,99.4209375,6400,6292,0.3192125977677432,0.09576406082549896,0.0499086076011484,music80_10_ratio-of-steps_11,5.011072158813477,0.022583849728107452,1.0,0.017163963988423347,1.0,0.018933909013867378,1.0,0.014953356236219406,1.0,0.01508676540106535,1.0
music80_10_ratio-of-steps,12,8.582523345947266,100.87234375,6400,6313,0.3226495569534146,0.09512354220375696,0.05046174625000491,music80_10_ratio-of-steps_12,16.229406356811523,0.014730449765920639,1.0,0.012931745499372482,1.0,0.011922703124582767,1.0,0.011242484673857689,1.0,0.010466920211911201,1.0
music80_10_ratio-of-steps,13,8.60371208190918,97.79703125,6400,6311,0.3253393153631836,0.09364372355423621,0.049495103860727745,music80_10_ratio-of-steps_13,3.548233985900879,0.017885325476527214,1.0,0.00918924156576395,1.0,0.008528804406523705,1.0,0.00890451017767191,1.0,0.009470567107200623,1.0
music80_10_ratio-of-steps,14,8.610654830932617,96.02109375,6400,6287,0.3268103951376426,0.0956105259152731,0.050379936537043736,music80_10_ratio-of-steps_14,9.26685619354248,0.00833083689212799,1.0,0.007600205950438976,1.0,0.01041497103869915,1.0,0.006418201141059399,1.0,0.006458462215960026,1.0
music80_10_ratio-of-steps,15,8.611356735229492,96.82828125,6400,6288,0.3245984462304942,0.09317558901453683,0.05058394018637839,music80_10_ratio-of-steps_15,1.2904877662658691,0.0059907156974077225,1.0,0.005483007058501244,1.0,0.005175434518605471,1.0,0.007308760192245245,1.0,0.007128454279154539,1.0
music80_10_ratio-of-steps,16,8.609750747680664,95.2803125,6400,6301,0.3267969661167068,0.09374220884631657,0.05044498826202005,music80_10_ratio-of-steps_16,36.74272155761719,0.005517337471246719,1.0,0.005453003570437431,1.0,0.005044587422162294,1.0,0.0049389079213142395,1.0,0.005027229432016611,1.0
music80_10_ratio-of-steps,17,8.615468978881836,92.7090625,6400,6286,0.32610507371231007,0.09175200027088902,0.049137652199199584,music80_10_ratio-of-steps_17,0.5527798533439636,0.004554642364382744,1.0,0.004626818932592869,1.0,0.005240255501121283,1.0,0.004272947087883949,1.0,0.004450536333024502,1.0
music80_10_ratio-of-steps,18,8.634666442871094,92.50453125,6400,6309,0.32471482957562003,0.09407748096645449,0.0501829926537732,music80_10_ratio-of-steps_18,0.7525984048843384,0.003917266149073839,1.0,0.0038069861475378275,1.0,0.003700598841533065,1.0,0.00425649294629693,1.0,0.0034234770573675632,1.0
music80_10_ratio-of-steps,19,8.61361312866211,93.6746875,6400,6285,0.32470174341858254,0.09505027191814358,0.050045504608364225,music80_10_ratio-of-steps_19,0.399435818195343,0.003483646083623171,1.0,0.0031900997273623943,1.0,0.0031968040857464075,1.0,0.0030326542910188437,1.0,0.003129180520772934,1.0
music80_10_ratio-of-steps,20,8.641077995300293,92.6429375,32000,31256,0.325676986567509,0.09329125631815467,0.0496540793163277,music80_10_ratio-of-steps_20,0.595127522945404,0.003234516829252243,1.0,0.00454285554587841,1.0,0.002707722829654813,1.0,0.002859934000298381,1.0,0.002660909667611122,1.0
music80_10_ratio-of-steps,21,8.607394218444824,92.4259375,6400,6283,0.3207804912027272,0.09462581795337562,0.050239204848879934,music80_10_ratio-of-steps_21,12.569487571716309,0.0025915908627212048,1.0,0.0025384596083313227,1.0,0.0026413113810122013,1.0,0.002349158050492406,1.0,0.0022775365505367517,1.0
music80_10_ratio-of-steps,22,8.628949165344238,91.14,6400,6293,0.32144279922802,0.09338398520888652,0.0498774872872114,music80_10_ratio-of-steps_22,1.0694148540496826,0.0035296655260026455,1.0,0.0024044918827712536,1.0,0.0023511755280196667,1.0,0.002066055778414011,1.0,0.0021740891970694065,1.0
music80_10_ratio-of-steps,23,8.643736839294434,89.743125,6400,6292,0.3272614994584355,0.09332075617802332,0.04885498122742269,music80_10_ratio-of-steps_23,0.7600250840187073,0.0023638091515749693,1.0,0.0019271780038252473,1.0,0.0023433349560946226,1.0,0.002136427443474531,1.0,0.002002227585762739,1.0
music80_10_ratio-of-steps,24,8.640970230102539,87.82859375,6400,6270,0.3252671112078566,0.09353687190799281,0.05010973278787409,music80_10_ratio-of-steps_24,0.35749006271362305,0.0019572190940380096,1.0,0.0018112707184627652,1.0,0.002174024237319827,1.0,0.0024852468632161617,1.0,0.0022782967425882816,1.0
music80_10_ratio-of-steps,25,8.675921440124512,86.53921875,6400,6302,0.3230940869514046,0.09487335558033419,0.0513441454608687,music80_10_ratio-of-steps_25,1.1573543548583984,0.0022080831695348024,1.0,0.0020865527912974358,1.0,0.002121994737535715,1.0,0.0018583557102829218,1.0,0.0017925800057128072,1.0
music80_10_ratio-of-steps,26,8.686387062072754,85.8625,6400,6291,0.3216060365436133,0.09190267362807482,0.04956500045702755,music80_10_ratio-of-steps_26,2.1266448497772217,0.0017610108479857445,1.0,0.0016995975747704506,1.0,0.0016256716335192323,1.0,0.001758121419698,1.0,0.0015967678045853972,1.0
music80_10_ratio-of-steps,27,8.67471694946289,85.05515625,6400,6289,0.32210067141883586,0.09281170704612193,0.049271210300375436,music80_10_ratio-of-steps_27,0.5359234809875488,0.0020521124824881554,1.0,0.0018578356830403209,1.0,0.001515069860033691,1.0,0.0014994640368968248,1.0,0.001446343376301229,1.0
