exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
music80_10_tonality,67,8.459924697875977,91.26015625,6400,6311,0.26925271062065953,0.10091729077072524,0.05040869809151772,music80_10_tonality_67,0.008988652378320694,0.00030502743902616203,1.0,0.000294670055154711,1.0,0.00038918660720810294,1.0,0.00029370494303293526,1.0,0.0003247271233703941,1.0
music80_10_tonality,68,8.446974754333496,92.9378125,6400,6330,0.27042079562538773,0.10211992615246819,0.05111436350514746,music80_10_tonality_68,0.2876187264919281,0.00044152859481982887,1.0,0.0005038401577621698,1.0,0.0002829178993124515,1.0,0.00032990475301630795,1.0,0.00027409239555709064,1.0
music80_10_tonality,69,8.466568946838379,92.0859375,6400,6290,0.27101066703292337,0.10221788871927451,0.051120189029915115,music80_10_tonality_69,0.08935251832008362,0.00027146341744810343,1.0,0.0003630153660196811,1.0,0.00026489351876080036,1.0,0.00027930515352636576,1.0,0.0002766054240055382,1.0
music80_10_tonality,70,8.452839851379395,92.00221875,32000,31293,0.2724191810064803,0.10196487840443148,0.05051520551240549,music80_10_tonality_70,0.04398861899971962,0.00028600209043361247,1.0,0.0003140369080938399,1.0,0.000258117652265355,1.0,0.00024798986851237714,1.0,0.00025011724210344255,1.0
music80_10_tonality,71,8.43581771850586,92.98390625,6400,6295,0.2719340061272738,0.10172681402682558,0.05001421341524126,music80_10_tonality_71,0.10431570559740067,0.00034010360832326114,1.0,0.00028387311613187194,1.0,0.000248551630647853,1.0,0.00023979591787792742,1.0,0.00023863780370447785,1.0
music80_10_tonality,72,8.43270206451416,92.46875,6400,6305,0.2702373249828894,0.10245569525597198,0.05074155501864862,music80_10_tonality_72,0.04476705193519592,0.0005990568897686899,1.0,0.00034367339685559273,1.0,0.0003015005786437541,1.0,0.00025716290110722184,1.0,0.0004673336516134441,1.0
music80_10_tonality,73,8.43596363067627,91.45875,6400,6302,0.26530382540521685,0.1022159954107462,0.05102048413454366,music80_10_tonality_73,33.59775924682617,0.00029651576187461615,1.0,0.0002963965234812349,1.0,0.00034676952054724097,1.0,0.00026576442178338766,1.0,0.0008023940026760101,1.0
music80_10_tonality,74,8.415162086486816,94.6571875,6400,6311,0.27284725636659907,0.10342930906210937,0.051280364858218984,music80_10_tonality_74,16.86123275756836,0.0003421251894906163,1.0,0.0003734765632543713,1.0,0.0003870880464091897,1.0,0.0003815063100773841,1.0,0.0003862398734781891,1.0
music80_10_tonality,75,8.41625690460205,98.22828125,6400,6313,0.27569489496451155,0.10353912216950163,0.050561096213495665,music80_10_tonality_75,0.18420925736427307,0.00036213587736710906,1.0,0.0003486173809505999,1.0,0.00035878585185855627,1.0,0.0005366154364310205,1.0,0.0006336576188914478,1.0
music80_10_tonality,76,8.391282081604004,100.7425,6400,6287,0.27525280071972125,0.10252046595452835,0.05041556380625229,music80_10_tonality_76,0.015220189467072487,0.000381647638278082,1.0,0.0005349852726794779,1.0,0.0003592658322304487,1.0,0.00034923452767543495,1.0,0.0004060011706314981,1.0
music80_10_tonality,77,8.384859085083008,102.7659375,6400,6305,0.2785289457154582,0.1054026649987736,0.050724774326593225,music80_10_tonality_77,0.19127735495567322,0.0004126337880734354,1.0,0.0003350705374032259,1.0,0.0003260603698436171,1.0,0.00032677012495696545,1.0,0.0005752285942435265,1.0
music80_10_tonality,78,8.339427947998047,108.73203125,6400,6323,0.27845877166261096,0.10255079185107459,0.04999079451909419,music80_10_tonality_78,0.006935495883226395,0.0003158340696245432,1.0,0.0003232576709706336,1.0,0.00030495235114358366,1.0,0.0003156360471621156,1.0,0.00030229269759729505,1.0
music80_10_tonality,79,8.364080429077148,110.621875,6400,6323,0.28500668089958664,0.10277158739156139,0.04904143603761978,music80_10_tonality_79,0.2870537340641022,0.0003085933858528733,1.0,0.0002910192124545574,1.0,0.00034416434937156737,1.0,0.00032645370811223984,1.0,0.0003021261072717607,1.0
music80_10_tonality,80,8.316203117370605,112.974,32000,31365,0.28558216879662096,0.10370319457837837,0.05065959578838702,music80_10_tonality_80,0.04187674820423126,0.0002941798302344978,1.0,0.00027693345327861607,1.0,0.0002702198107726872,1.0,0.00026208648341707885,1.0,0.000255333463428542,1.0
music80_10_tonality,81,8.321831703186035,115.69265625,6400,6317,0.28744512275439377,0.1037073896643141,0.05223258904026881,music80_10_tonality_81,0.019525552168488503,0.00025151227600872517,1.0,0.00029794260626658797,1.0,0.000243983551627025,1.0,0.00024151586694642901,1.0,0.0002302519860677421,1.0
music80_10_tonality,82,8.304276466369629,118.45578125,6400,6317,0.29009483165583105,0.10274708786253788,0.04982011352719987,music80_10_tonality_82,0.21156321465969086,0.00022890008403919637,1.0,0.00023655415861867368,1.0,0.00023406783293467015,1.0,0.00022790502407588065,1.0,0.04138713330030441,1.0
music80_10_tonality,83,8.310358047485352,119.295,6400,6328,0.2918120852264037,0.1044490433281743,0.049967086144401145,music80_10_tonality_83,0.10239842534065247,0.0010073211742565036,1.0,0.00037646485725417733,1.0,0.0003571503912098706,1.0,0.0003429184143897146,1.0,0.0005505008739419281,1.0
music80_10_tonality,84,8.278365135192871,123.15953125,6400,6315,0.2966312311713733,0.10292254016994146,0.05020552401668652,music80_10_tonality_84,2.435267448425293,0.0003426671901252121,1.0,0.0004308450734242797,1.0,0.00044479937059804797,1.0,0.00032425549579784274,1.0,0.00032892441959120333,1.0
music80_10_tonality,85,8.259777069091797,124.70953125,6400,6323,0.2965832833341077,0.10221931793412985,0.049558094799820686,music80_10_tonality_85,0.5450453758239746,0.00033596475259400904,1.0,0.0003068015503231436,1.0,0.00029995213844813406,1.0,0.0005317931063473225,1.0,0.00029296777211129665,1.0
music80_10_tonality,86,8.25883960723877,128.301875,6400,6324,0.2992014129581387,0.10214441421747777,0.04967974597533176,music80_10_tonality_86,0.18180570006370544,0.0002967012405861169,1.0,0.0002823711547534913,1.0,0.0002950724447146058,1.0,0.0002831062884069979,1.0,0.00028561975341290236,1.0
