exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_tonality,0,8.401189804077148,113.3993125,32000,31543,0.2965834123173926,0.09616910938575149,0.051149337469219645,music80_06_tonality_0,170.26876831054688,0.6328351497650146,1.0,0.6047365069389343,1.0,0.653847873210907,0.9583333730697632
music80_06_tonality,1,8.418115615844727,106.95625,6400,6344,0.3009347515713642,0.09915583955673704,0.05495600360540891,music80_06_tonality_1,154.6171875,0.5540494918823242,1.0,0.5423693656921387,1.0,0.5006956458091736,1.0
music80_06_tonality,2,8.407100677490234,109.84421875,6400,6362,0.29804904321969583,0.1000225059595755,0.0568439265131836,music80_06_tonality_2,181.79806518554688,0.4776294529438019,1.0,0.45494967699050903,1.0,0.43308550119400024,1.0
music80_06_tonality,3,8.389880180358887,109.80921875,6400,6356,0.286456407123189,0.1030148145192671,0.059286528942402425,music80_06_tonality_3,181.87814331054688,0.41130298376083374,1.0,0.39105337858200073,1.0,0.3677428662776947,1.0
music80_06_tonality,4,8.362078666687012,112.090625,6400,6355,0.28384017430661834,0.10280017376701846,0.0593949429173646,music80_06_tonality_4,181.46762084960938,0.3509954512119293,1.0,0.3497855067253113,1.0,0.3119151294231415,1.0
music80_06_tonality,5,8.362099647521973,114.6190625,6400,6356,0.2812683450888807,0.104579156314085,0.06194971043382914,music80_06_tonality_5,165.85589599609375,0.29635876417160034,1.0,0.28244146704673767,1.0,0.264691561460495,1.0
music80_06_tonality,6,8.329029083251953,113.63609375,6400,6359,0.2737624530857155,0.10642668622611887,0.06362652136662725,music80_06_tonality_6,181.06019592285156,0.24823860824108124,1.0,0.23351414501667023,1.0,0.21707715094089508,1.0
music80_06_tonality,7,8.320489883422852,114.0196875,6400,6353,0.2684609050558068,0.10782864038659419,0.06565074300354634,music80_06_tonality_7,199.07769775390625,0.20584657788276672,1.0,0.19195297360420227,1.0,0.17988626658916473,1.0
music80_06_tonality,8,8.314225196838379,111.321875,6400,6369,0.261337717100407,0.11067728103479495,0.06747842175811099,music80_06_tonality_8,204.49777221679688,0.16593237221240997,1.0,0.1544996201992035,1.0,0.1447363644838333,1.0
music80_06_tonality,9,8.313075065612793,112.500625,6400,6350,0.2538354430705239,0.11132756126532303,0.06816483666370136,music80_06_tonality_9,193.4257049560547,0.1413167119026184,1.0,0.12546628713607788,1.0,0.11975423246622086,1.0
