exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
smallmols_04_soft-novelty,0,6.39159631729126,41.5593125,32000,31970,12920,19080,1.0,1.0,1.0,0.3733617833346396,0.9884984520123838,0.548789425071457,0.5128964687036129,0.49693148660749203,smallmols_04_soft-novelty_0,493.8414611816406,0.014472993090748787,1.0,0.03966689854860306,1.0
smallmols_04_soft-novelty,1,6.592028617858887,37.86359375,6400,6400,2941,3459,1.0,1.0,1.0,0.31438361402808174,0.9907174430465827,0.550580258277837,0.5234232677790113,0.521269683211924,smallmols_04_soft-novelty_1,496.6128845214844,0.010544389486312866,1.0,0.0067302267998456955,1.0
smallmols_04_soft-novelty,2,6.8225016593933105,33.04703125,6400,6396,3571,2829,0.9997199663959675,0.9997199663959675,0.9998039764771773,0.4359040039060935,0.9920190422850742,0.5427923996638293,0.5322081008560194,0.5653809135180164,smallmols_04_soft-novelty_2,497.0540466308594,0.009498135186731815,1.0,0.016047624871134758,1.0
smallmols_04_soft-novelty,3,7.014108657836914,29.00125,6400,6388,4091,2309,0.9997555609875336,0.9997555609875336,0.9998288926912736,0.432541151601074,0.9940845758983134,0.5296191751854243,0.5301788135198917,0.6142342420170216,smallmols_04_soft-novelty_3,481.2447509765625,0.010585810989141464,1.0,0.005835845600813627,1.0
smallmols_04_soft-novelty,4,7.188260555267334,25.5071875,6400,6315,4441,1959,0.9997748254897546,0.9997748254897546,0.9998423778428283,0.47092000347049673,0.9943481197928395,0.5296065437348252,0.5436730604825251,0.6460513297491077,smallmols_04_soft-novelty_4,457.176513671875,0.0038254857063293457,1.0,0.003906697034835815,1.0
smallmols_04_soft-novelty,5,7.305801868438721,22.826875,6400,6152,4804,1596,0.9989592006661115,0.9989592006661115,0.9992714404662781,0.4978077463143568,0.9956078268109908,0.5133592060377866,0.5518075255233752,0.6818215215783042,smallmols_04_soft-novelty_5,453.55841064453125,0.0034180241636931896,1.0,0.0024669605772942305,1.0
smallmols_04_soft-novelty,6,7.382976531982422,20.92015625,6400,5880,4940,1460,0.9991902834008097,0.9991902834008097,0.9994331983805668,0.5485779971810139,0.9970647773279352,0.5061576307271785,0.5535219252955568,0.7120149032668256,smallmols_04_soft-novelty_6,428.19573974609375,0.005013656802475452,1.0,0.002046105219051242,1.0
smallmols_04_soft-novelty,7,7.409658908843994,20.04453125,6400,5717,5059,1341,0.9982209922909666,0.9982209922909666,0.9987546946036766,0.5847810154751036,0.9968175528760624,0.5073752589137686,0.5529020772328953,0.7277791793681241,smallmols_04_soft-novelty_7,395.0160827636719,0.0017734522698447108,1.0,0.01612304337322712,1.0
smallmols_04_soft-novelty,8,7.455259799957275,19.1996875,6400,5469,5170,1230,0.9988394584139265,0.9988394584139265,0.9991876208897484,0.5538438818692502,0.9971953578336558,0.5083345806557003,0.5509582540593452,0.7551448568310347,smallmols_04_soft-novelty_8,386.3158264160156,0.002139107324182987,1.0,0.0030845925211906433,1.0
smallmols_04_soft-novelty,9,7.46596622467041,18.9334375,6400,5282,5201,1199,0.9971159392424533,0.9971159392424533,0.9979811574697174,0.598423716028464,0.9977696596808305,0.5185708973463221,0.5521260330571107,0.7753369150422549,smallmols_04_soft-novelty_9,412.9808654785156,0.0012609667610377073,1.0,0.0012555981520563364,1.0
smallmols_04_soft-novelty,10,7.461884021759033,18.91696875,32000,22086,25736,6264,0.996774945601492,0.9966583773702207,0.9977424619210445,0.5761073657365202,0.9981465651227852,0.5269376484767199,0.5517028628854214,0.7813545909044171,smallmols_04_soft-novelty_10,393.9416809082031,0.0012319532688707113,1.0,0.01522908452898264,1.0
smallmols_04_soft-novelty,11,7.486534595489502,18.61171875,6400,5060,5204,1196,0.9950038431975403,0.9950038431975403,0.9965026902382783,0.5913927625884569,0.9981360491929285,0.538031101152638,0.5522487953702221,0.801670858470712,smallmols_04_soft-novelty_11,358.7763977050781,0.0010459530167281628,1.0,0.0011719412868842483,1.0
smallmols_04_soft-novelty,12,7.481347560882568,18.21828125,6400,4889,5414,986,0.9959364610269671,0.9957517547100111,0.9971555227188771,0.6220935938107928,0.9986147026228297,0.5337445874898249,0.5556301886944671,0.7950150560751573,smallmols_04_soft-novelty_12,405.11895751953125,0.0008802765514701605,1.0,0.0009215725003741682,1.0
smallmols_04_soft-novelty,13,7.482545852661133,18.01296875,6400,4852,5523,877,0.995473474560927,0.9952924135433641,0.9968314321926489,0.5776267593545872,0.9986058301647653,0.5387196002037583,0.5601024715119606,0.8024559513638537,smallmols_04_soft-novelty_13,361.81951904296875,0.0022960249334573746,1.0,0.00086389877833426,1.0
smallmols_04_soft-novelty,14,7.497100353240967,17.87234375,6400,4776,5531,869,0.9933104321099259,0.9927680347134333,0.9953173024769482,0.5674617157408114,0.9988428855541494,0.5361615574914196,0.5583182173596565,0.8048515249502667,smallmols_04_soft-novelty_14,366.5008544921875,0.0009791573975235224,1.0,0.00905460212379694,1.0
smallmols_04_soft-novelty,15,7.478510856628418,17.83546875,6400,4826,5554,846,0.9944184371624055,0.9942383867482896,0.9960929060136838,0.6759789812739022,0.999243788260713,0.5416928067466261,0.5653657866920777,0.8000553661017988,smallmols_04_soft-novelty_15,356.6527404785156,0.009743177331984043,1.0,0.003442496759817004,1.0
smallmols_04_soft-novelty,16,7.502544403076172,17.88953125,6400,4779,5489,911,0.9947167061395519,0.9947167061395519,0.9963016942976864,0.5781291635230041,0.99908908726544,0.5437056064555497,0.5640703537144505,0.7995209303681627,smallmols_04_soft-novelty_16,354.1351013183594,0.0007243654108606279,1.0,0.00235204235650599,1.0
smallmols_04_soft-novelty,17,7.495452880859375,17.9553125,6400,4804,5459,941,0.9932222018684741,0.9932222018684741,0.9952555413079319,0.6335559498676235,0.9986078036270378,0.547028669804726,0.5728259226825234,0.7922031952324723,smallmols_04_soft-novelty_17,356.4371337890625,0.0007137323846109211,1.0,0.0007338211871683598,1.0
smallmols_04_soft-novelty,18,7.530160903930664,17.79453125,6400,4738,5521,879,0.9940228219525449,0.9940228219525449,0.9958159753667813,0.6095097258399101,0.9993117188915053,0.5499038294369837,0.5825458198011761,0.7935417451840411,smallmols_04_soft-novelty_18,371.9500427246094,0.0010684235021471977,1.0,0.0007881273631937802,1.0
smallmols_04_soft-novelty,19,7.5252299308776855,17.820625,6400,4663,5585,815,0.9924798567591764,0.9924798567591764,0.9947358997314235,0.6405265816580972,0.9991584601611461,0.5562688173931147,0.5861988057300723,0.7966611082363623,smallmols_04_soft-novelty_19,359.96502685546875,0.0008942238055169582,1.0,0.0008921404951252043,1.0
smallmols_04_soft-novelty,20,7.518441200256348,18.02659375,32000,18940,27889,4111,0.9919681594894044,0.9918605901968518,0.9943777116425832,0.6396324721767945,0.9992506005952168,0.5624046860100858,0.5843455471669706,0.795423648115707,smallmols_04_soft-novelty_20,373.71044921875,0.0007999663939699531,1.0,0.001211534719914198,1.0
