exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
drugs_00_solubility,0,5.6455912590026855,44.0574375,32000,31932,9463,22537,1.0,1.0,1.0,0.3844077422273926,0.6840219803444996,0.5275204311660507,0.49747265105868854,0.530953950251774,drugs_00_solubility_0,306.2071533203125,0,0
drugs_00_solubility,1,5.729177474975586,39.20484375,6400,6388,2394,4006,1.0,1.0,1.0,0.3651042282203554,0.7317878028404344,0.5469228031946701,0.4875303900286715,0.6044426219191176,drugs_00_solubility_1,328.4255065917969,0,0
drugs_00_solubility,2,5.843728065490723,36.30875,6400,6380,2618,3782,1.0,1.0,1.0,0.3798205426263181,0.7699006875477464,0.5562511669462715,0.4856472826275427,0.6502817355344237,drugs_00_solubility_2,313.9500732421875,0,0
drugs_00_solubility,3,5.9979023933410645,33.95578125,6400,6357,3030,3370,0.9993399339933994,0.9993399339933994,0.9995379537953795,0.39798865097562147,0.7811881188118812,0.5647953311893154,0.4945717133113424,0.6831865517676133,drugs_00_solubility_3,347.2374267578125,0,0
drugs_00_solubility,4,6.1817426681518555,31.9596875,6400,6287,3159,3241,1.0,1.0,1.0,0.3736328454490679,0.7905666350110795,0.5767447228392293,0.49929674220180126,0.7219449923831879,drugs_00_solubility_4,370.1349792480469,0,0
drugs_00_solubility,5,6.358072280883789,30.37140625,6400,6197,3601,2799,0.9997222993612885,0.9997222993612885,0.999805609552902,0.34848811701743027,0.8105248542071646,0.5846816298551408,0.5026662533695769,0.7476993686576473,drugs_00_solubility_5,364.90673828125,0,0
drugs_00_solubility,6,6.4395222663879395,29.44671875,6400,6126,3939,2461,1.0,1.0,1.0,0.4100818257402087,0.8174663620208175,0.5943479868186005,0.5041473400502481,0.7660405520161773,drugs_00_solubility_6,380.2687072753906,0,0
drugs_00_solubility,7,6.5631422996521,28.52296875,6400,5964,4252,2148,1.0,1.0,1.0,0.3902598940638914,0.8313029162746942,0.6006244034561568,0.5085835672244702,0.7835926221849827,drugs_00_solubility_7,416.883544921875,0,0
drugs_00_solubility,8,6.693498611450195,27.56890625,6400,5824,4573,1827,1.0,1.0,1.0,0.4483844802007574,0.8291930898753552,0.6165088094448286,0.5141507656094368,0.8049135418621974,drugs_00_solubility_8,373.30218505859375,0,0
drugs_00_solubility,9,6.817666530609131,26.71703125,6400,5547,4853,1547,1.0,0.9997939418916134,1.0,0.30929419332763164,0.8365547084277766,0.6241169381161498,0.5223021845504296,0.8213189674345227,drugs_00_solubility_9,381.46759033203125,0,0
drugs_00_solubility,10,6.92572021484375,25.49484375,32000,22703,25010,6990,1.0,1.0,1.0,0.40167182403444623,0.8503438624550179,0.6298826514651044,0.529769809664324,0.8437239569961024,drugs_00_solubility_10,414.48114013671875,0,0
drugs_00_solubility,11,7.052871227264404,24.7221875,6400,4818,5134,1266,1.0,0.9998052201012856,1.0,0.5059608184958985,0.8624074795481107,0.6424924453256565,0.5420709284412185,0.8607963014708593,drugs_00_solubility_11,393.47418212890625,0,0
drugs_00_solubility,12,7.119709491729736,24.29296875,6400,4607,5240,1160,1.0,1.0,1.0,0.4154138590332189,0.8608969465648854,0.6527783648763971,0.5517219061430075,0.8707856729593482,drugs_00_solubility_12,385.5577392578125,0,0
drugs_00_solubility,13,7.148728847503662,23.99328125,6400,4395,5327,1073,1.0,1.0,1.0,0.5108157975920684,0.8711094424629247,0.665042427328156,0.5633717889942708,0.882831334209471,drugs_00_solubility_13,318.5072937011719,0,0
drugs_00_solubility,14,7.180792808532715,23.55828125,6400,4212,5319,1081,1.0,1.0,1.0,0.4428682796731739,0.8802594472645234,0.6728556991263541,0.5744259365685865,0.8923498898688877,drugs_00_solubility_14,334.27069091796875,0,0
drugs_00_solubility,15,7.254613876342773,23.2859375,6400,3958,5394,1006,1.0,1.0,1.0,0.43649467385686985,0.8827400815721171,0.682526196572839,0.586249017758578,0.899674411802526,drugs_00_solubility_15,351.100830078125,0,0
drugs_00_solubility,16,7.323477745056152,23.77421875,6400,3985,5352,1048,1.0,1.0,1.0,0.4673619096973973,0.8818759342301944,0.7002022688536514,0.5961491253809539,0.9010961642745875,drugs_00_solubility_16,344.0325012207031,0,0
drugs_00_solubility,17,7.440517425537109,23.80125,6400,3867,5365,1035,1.0,1.0,1.0,0.4610655792959538,0.8836533084808947,0.7171155262456462,0.6116682183194044,0.9038115177234188,drugs_00_solubility_17,391.03948974609375,0,0
drugs_00_solubility,18,7.412501335144043,24.00734375,6400,3944,5295,1105,1.0,1.0,1.0,0.496518187234615,0.8805288007554296,0.7271051588675953,0.616463062072562,0.901351688936908,drugs_00_solubility_18,343.56524658203125,0,0
drugs_00_solubility,19,7.375631809234619,24.14703125,6400,3961,5325,1075,1.0,1.0,1.0,0.4790532897244633,0.8827230046948357,0.7307709578413799,0.6148544515988723,0.8990434060843843,drugs_00_solubility_19,357.37841796875,0,0
drugs_00_solubility,20,7.318156719207764,24.50315625,32000,16047,27129,4871,1.0,1.0,1.0,0.48783623669892584,0.8844668067381769,0.7385093268609506,0.6185144879680102,0.897422830193924,drugs_00_solubility_20,373.0519104003906,0,0
drugs_00_solubility,21,7.259212017059326,25.1140625,6400,4254,5418,982,0.9998154300479882,0.9998154300479882,0.9998708010335917,0.49598123098051033,0.8857881136950904,0.7490595986192509,0.6214732409221496,0.895166651845568,drugs_00_solubility_21,387.8118591308594,0,0
