exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
drugs_04_soft-novelty,0,5.651266574859619,44.098375,32000,31944,9470,22530,1.0,1.0,1.0,0.38207539711667843,0.6797993664202746,0.5310636470170997,0.49870155789500986,0.5365027202889961,drugs_04_soft-novelty_0,434.1263732910156,2.2778172492980957,0.6349207162857056,1.4816627502441406,0.6031746864318848
drugs_04_soft-novelty,1,5.763115406036377,40.100625,6400,6390,2294,4106,1.0,1.0,1.0,0.3388120904884662,0.7196163905841325,0.5346244546579255,0.48814844105226757,0.5981843887686916,drugs_04_soft-novelty_1,659.8181762695312,0.7786900997161865,0.8571429252624512,0.5458952188491821,0.8571429252624512
drugs_04_soft-novelty,2,5.752735614776611,37.12359375,6400,6380,2521,3879,1.0,1.0,1.0,0.36261191294055933,0.7471638238794129,0.5286763530288263,0.49087475355096244,0.6220854058220626,drugs_04_soft-novelty_2,530.888427734375,0.4066305160522461,0.888888955116272,0.20430445671081543,0.968254029750824
drugs_04_soft-novelty,3,5.843072891235352,34.98875,6400,6376,2945,3455,0.999660441426146,0.999660441426146,0.9997623089983023,0.37403236564979697,0.7795925297113753,0.5360553853158049,0.4845939953366421,0.6576694762843208,drugs_04_soft-novelty_3,467.31805419921875,0.16345985233783722,0.9523810148239136,0.19856908917427063,0.9365079998970032
drugs_04_soft-novelty,4,5.912813186645508,33.16734375,6400,6308,3263,3137,1.0,0.9996935335580754,1.0,0.37746708861769107,0.7833895188476863,0.5349487280383173,0.4900579159409264,0.6842233007734319,drugs_04_soft-novelty_4,457.4773864746094,0.10195615142583847,0.9523810148239136,0.17721475660800934,0.9365079998970032
drugs_04_soft-novelty,5,6.044093132019043,30.89546875,6400,6220,3652,2748,1.0,1.0,1.0,0.3633354629345394,0.8169222343921138,0.5415735997895766,0.4929323608327283,0.717449267544906,drugs_04_soft-novelty_5,454.1300354003906,0.08168689906597137,0.968254029750824,0.09200306236743927,0.968254029750824
drugs_04_soft-novelty,6,6.186774730682373,29.33515625,6400,6066,3882,2518,1.0,1.0,1.0,0.40961389404011694,0.8349304482225657,0.5457821057512091,0.5009649228971478,0.7433100357631535,drugs_04_soft-novelty_6,404.8916320800781,0.04042515903711319,1.0,0.028806980699300766,1.0
drugs_04_soft-novelty,7,6.298088550567627,27.9396875,6400,5920,4052,2348,1.0,1.0,1.0,0.3882380084112579,0.8487907206317868,0.5538470119529187,0.5032770070767506,0.7630978666515756,drugs_04_soft-novelty_7,452.3109130859375,0.013104396872222424,1.0,0.0159885436296463,1.0
drugs_04_soft-novelty,8,6.451043128967285,27.48296875,6400,5874,4071,2329,1.0,1.0,1.0,0.4472167662601322,0.8509948415622698,0.566768880427085,0.5126149563548673,0.7740856663977188,drugs_04_soft-novelty_8,368.19189453125,0.012461194768548012,1.0,0.0368514321744442,0.9841270446777344
drugs_04_soft-novelty,9,6.58010196685791,26.796875,6400,5794,4073,2327,1.0,1.0,1.0,0.34183917968129907,0.8636385956297569,0.5718215978844403,0.5185983642259383,0.7863858082557875,drugs_04_soft-novelty_9,387.3064880371094,0.02356761135160923,1.0,0.026280788704752922,0.9841270446777344
drugs_04_soft-novelty,10,6.628316402435303,26.40625,32000,26601,21256,10744,0.9999529544599172,1.0,0.999967068121942,0.3938168251014653,0.869641512984569,0.5731048764026074,0.5204324047690657,0.7886641835848442,drugs_04_soft-novelty_10,354.6824645996094,0.016108985990285873,1.0,0.011509694159030914,1.0
drugs_04_soft-novelty,11,6.66176700592041,25.7934375,6400,5730,4419,1981,1.0,1.0,1.0,0.49478220758908475,0.8821452817379497,0.5738354756137528,0.5241796256434469,0.7991751627165161,drugs_04_soft-novelty_11,417.0698547363281,0.004774990491569042,1.0,0.00869542732834816,1.0
drugs_04_soft-novelty,12,6.648282051086426,25.41875,6400,5694,4690,1710,1.0,0.9995735607675906,1.0,0.4214766556373078,0.8776119402985074,0.5716931965501088,0.5274358621207847,0.7941021583615671,drugs_04_soft-novelty_12,405.67657470703125,0.006424759980291128,1.0,0.003246830776333809,1.0
drugs_04_soft-novelty,13,6.645808696746826,24.3384375,6400,5565,4890,1510,1.0,1.0,1.0,0.5087007432469758,0.8906543967280164,0.5708864181563692,0.5328335294598638,0.8057348052397263,drugs_04_soft-novelty_13,414.6058044433594,0.002009975491091609,1.0,0.0022142932284623384,1.0
drugs_04_soft-novelty,14,6.698482036590576,23.25796875,6400,5317,5094,1306,1.0,1.0,1.0,0.46754642027106413,0.9026698076168043,0.5652737717366624,0.5364928944395437,0.8165621363017529,drugs_04_soft-novelty_14,434.09173583984375,0.0016162536339834332,1.0,0.003162618260830641,1.0
drugs_04_soft-novelty,15,6.718127250671387,22.03796875,6400,5051,5297,1103,1.0,1.0,1.0,0.49329318022738383,0.901925618274495,0.5592034698218075,0.5487508408418464,0.8230985326973531,drugs_04_soft-novelty_15,414.572021484375,0.0019425209611654282,1.0,0.003293785033747554,1.0
drugs_04_soft-novelty,16,6.706372261047363,21.20296875,6400,4888,5355,1045,1.0,1.0,1.0,0.546436477765496,0.9136881419234361,0.5573193658191605,0.5524667572859114,0.8318832988871098,drugs_04_soft-novelty_16,395.31817626953125,0.001714804326184094,1.0,0.0011995215900242329,1.0
drugs_04_soft-novelty,17,6.724885940551758,20.57765625,6400,4774,5371,1029,1.0,1.0,1.0,0.5102438881192505,0.91899087693167,0.5504065018913165,0.5502398576023722,0.8342294839167929,drugs_04_soft-novelty_17,363.3812255859375,0.0018657611217349768,1.0,0.0009829477639868855,1.0
drugs_04_soft-novelty,18,6.763181686401367,20.34171875,6400,4651,5471,929,1.0,0.9998172180588558,1.0,0.5160649486103805,0.9248949003838419,0.550536913740729,0.5564267762042882,0.839555744134879,drugs_04_soft-novelty_18,381.3504638671875,0.0016733004013076425,1.0,0.0010788918007165194,1.0
drugs_04_soft-novelty,19,6.801406383514404,20.1371875,6400,4553,5498,902,1.0,1.0,1.0,0.5287929827823241,0.9277009821753365,0.5524733683868759,0.5508143067354195,0.8462874167659812,drugs_04_soft-novelty_19,322.5911865234375,0.001844736747443676,1.0,0.0009603294311091304,1.0
drugs_04_soft-novelty,20,6.8015055656433105,19.83509375,32000,19164,27044,4956,1.0,1.0,1.0,0.5663194331988657,0.9363518710249965,0.5559187980511445,0.5604192382151042,0.8542795726257121,drugs_04_soft-novelty_20,335.89642333984375,0.0008369567221961915,1.0,0.0009024778264574707,1.0
drugs_04_soft-novelty,21,6.807638645172119,19.630625,6400,4552,5088,1312,1.0,1.0,1.0,0.5946056213211701,0.9395047169811322,0.5534471832016477,0.5657390118790512,0.8559804213778741,drugs_04_soft-novelty_21,291.63531494140625,0.0007241988205350935,1.0,0.0016683659050613642,1.0
drugs_04_soft-novelty,22,6.816334247589111,19.1728125,6400,4406,5041,1359,1.0,1.0,1.0,0.6463786403435279,0.94028962507439,0.5513748966899583,0.5729030208613345,0.8598303520093222,drugs_04_soft-novelty_22,307.2072448730469,0.0006252811872400343,1.0,0.0009535705321468413,1.0
