exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
toy_00_synthesizability,0,8.841894149780273,13.70475,32000,12980,24271,7729,0.4036916484693667,0.31070001236043016,0.5825841539285567,0.46455546596935066,0.9962630299534424,0.2320475471713266,0.6190635926581267,0.3078146013027448,toy_00_synthesizability_0,117.61509704589844,0,0
toy_00_synthesizability,1,8.93427562713623,13.06546875,6400,3686,4989,1411,0.3842453397474444,0.26538384445780716,0.5689717378232111,0.5119439514053559,0.9964922830226498,0.23461564008946478,0.6149513352264494,0.30966281492537134,toy_00_synthesizability_1,115.36940002441406,0,0
toy_00_synthesizability,2,9.01219367980957,12.568125,6400,3367,5068,1332,0.39483030781373324,0.255130228887135,0.5763812154696133,0.5216702917085476,0.996310181531176,0.2358247358085915,0.6152059299437803,0.3064713915044379,toy_00_synthesizability_2,123.90401458740234,0,0
toy_00_synthesizability,3,9.08031940460205,12.0678125,6400,3048,5075,1325,0.37773399014778325,0.24689655172413794,0.5644137931034482,0.48135061279162883,0.9965123152709359,0.2361020874694335,0.6163704759941052,0.3195232874922241,toy_00_synthesizability_3,116.69346618652344,0,0
toy_00_synthesizability,4,9.101880073547363,11.790625,6400,3004,5022,1378,0.38331342094782955,0.24850657108721624,0.5683193946634806,0.5505462385406416,0.9961369972122661,0.2386335484897004,0.6144451389349294,0.333484482651497,toy_00_synthesizability_4,129.39768981933594,0,0
toy_00_synthesizability,5,9.15229320526123,11.445625,6400,2835,5143,1257,0.3855726229826949,0.25568734201827725,0.5699008360878864,0.5494163297297054,0.9973167412016333,0.23773193467209774,0.6081529781614808,0.3482097791826534,toy_00_synthesizability_5,103.60614013671875,0,0
toy_00_synthesizability,6,9.161430358886719,11.38734375,6400,2798,5154,1246,0.3734963135428793,0.2508731082654249,0.5614474194800155,0.5698105973360302,0.996895615056267,0.24128705128894776,0.6027830953912371,0.35633794396473234,toy_00_synthesizability_6,123.43489074707031,0,0
toy_00_synthesizability,7,9.166245460510254,11.23578125,6400,2799,5193,1207,0.3945696129404968,0.2703639514731369,0.5761987290583478,0.657019245673954,0.9975929135374543,0.24521611876784452,0.6048222680063063,0.378996762551789,toy_00_synthesizability_7,114.93457794189453,0,0
toy_00_synthesizability,8,9.197025299072266,11.060625,6400,2769,5076,1324,0.38081166272655637,0.2712765957446808,0.5665681639085893,0.5511836831630721,0.9980299448384555,0.24817239445391104,0.6065281290313297,0.38638715055944356,toy_00_synthesizability_8,127.34154510498047,0,0
toy_00_synthesizability,9,9.241476058959961,10.7409375,6400,2564,5180,1220,0.3861003861003861,0.2797297297297297,0.5702702702702702,0.6099224957997362,0.9978764478764479,0.24807981752528727,0.5993032110145278,0.41049398501231016,toy_00_synthesizability_9,134.73599243164062,0,0
toy_00_synthesizability,10,9.23769474029541,10.656125,32000,7437,26373,5627,0.4205437379137755,0.30735979979524514,0.5943806165396428,0.5757547014577252,0.9978879915064649,0.2493977873072189,0.5937027736079866,0.41912327907184876,toy_00_synthesizability_10,139.9180450439453,0,0
toy_00_synthesizability,11,9.247292518615723,10.53359375,6400,2419,5339,1061,0.44259224573890243,0.32290691140663047,0.6098145720172315,0.5559265226238896,0.9978834987825436,0.25206087596132715,0.5840831993423057,0.43689803810514605,toy_00_synthesizability_11,153.81312561035156,0,0
toy_00_synthesizability,12,9.252647399902344,10.386875,6400,2378,5334,1066,0.46944131983502063,0.35283089613798274,0.6286089238845144,0.6705352448208716,0.9980314960629921,0.25408831912224117,0.5863518390377462,0.45413988565787466,toy_00_synthesizability_12,120.48531341552734,0,0
toy_00_synthesizability,13,9.270176887512207,10.2209375,6400,2311,5338,1062,0.47808167853128514,0.3604346197077557,0.6346571749718996,0.6041862640948692,0.9980891719745223,0.2562393475065765,0.5822528838279996,0.4739371897113199,toy_00_synthesizability_13,138.4032440185547,0,0
toy_00_synthesizability,14,9.24950885772705,10.2078125,6400,2259,5397,1003,0.49731332221604596,0.3842875671669446,0.6481193255512321,0.6551083290883029,0.9978877153974431,0.2574931462262573,0.5815911810221824,0.48824803222346963,toy_00_synthesizability_14,137.12290954589844,0,0
toy_00_synthesizability,15,9.237327575683594,10.17515625,6400,2223,5419,981,0.5323860490865473,0.4142830780586824,0.6726702343605832,0.7296202795827748,0.9979516515962354,0.2617637382918464,0.5845843385694232,0.5029291576188799,toy_00_synthesizability_15,136.7241973876953,0,0
toy_00_synthesizability,16,9.236961364746094,10.12453125,6400,2233,5498,902,0.542015278283012,0.43070207348126593,0.6794106947981083,0.6678526346835675,0.9976900691160422,0.264339802674008,0.5813899731960045,0.5219924783643671,toy_00_synthesizability_16,142.16738891601562,0,0
toy_00_synthesizability,17,9.241692543029785,9.9959375,6400,2130,5529,871,0.5659251220835594,0.4548742991499367,0.6961475854584915,0.7039618115676137,0.997938144329897,0.2701561401000393,0.5881777018195197,0.542696865096305,toy_00_synthesizability_17,147.17080688476562,0,0
toy_00_synthesizability,18,9.244675636291504,9.91,6400,2033,5618,782,0.566749733001068,0.463688145247419,0.6967248131007475,0.8205044723678854,0.9972232111071555,0.27757314831767027,0.5868366428988341,0.5651235344229459,toy_00_synthesizability_18,130.77175903320312,0,0
toy_00_synthesizability,19,9.226032257080078,9.97453125,6400,2058,5556,844,0.5824334053275738,0.48290136789056876,0.7077033837293016,0.6884075099806756,0.9978581713462924,0.27829241271755273,0.58764048374678,0.5733527352346037,toy_00_synthesizability_19,133.38687133789062,0,0
toy_00_synthesizability,20,9.247210502624512,9.82615625,32000,6071,27844,4156,0.5961787099554662,0.500359143801178,0.7173250969688263,0.7507477636325378,0.9980965378537567,0.28201503547673207,0.5900287260269674,0.5848438987590859,toy_00_synthesizability_20,140.23898315429688,0,0
toy_00_synthesizability,21,9.239752769470215,9.8484375,6400,1979,5571,829,0.6164063902351463,0.5205528630407468,0.7314844731646024,0.7428114519270801,0.9978998384491115,0.2849486559577877,0.589419802134504,0.5984341293342967,toy_00_synthesizability_21,133.80946350097656,0,0
toy_00_synthesizability,22,9.237992286682129,9.76859375,6400,1888,5675,725,0.6294273127753304,0.5386784140969163,0.7405991189427312,0.7356367692793099,0.9981145374449338,0.29398867100848647,0.5938632360533299,0.6125286152595971,toy_00_synthesizability_22,147.32180786132812,0,0
toy_00_synthesizability,23,9.228087425231934,9.9040625,6400,1888,5780,620,0.6346020761245674,0.5517301038062283,0.7442214532871971,0.7170584294487601,0.9978373702422145,0.29593390410170445,0.5837050477614697,0.6247007702290082,toy_00_synthesizability_23,118.6401138305664,0,0
toy_00_synthesizability,24,9.21274471282959,9.948125,6400,1877,5733,667,0.6544566544566545,0.5766614338042909,0.7581196581196582,0.7052977015088239,0.9979242979242978,0.2962686565378573,0.5908479684321112,0.6336246088059431,toy_00_synthesizability_24,150.63787841796875,0,0
toy_00_synthesizability,25,9.200518608093262,9.9546875,6400,1900,5603,797,0.6789220060681778,0.5968231304658219,0.7752454042477244,0.7598278664578981,0.9975548813135818,0.3040499794920103,0.594406401043748,0.6484124049454929,toy_00_synthesizability_25,170.41107177734375,0,0
toy_00_synthesizability,26,9.1951265335083,10.02375,6400,1868,5600,800,0.6678571428571428,0.58875,0.7674999999999998,0.7514071357609676,0.9977678571428571,0.30565932086369924,0.5924451286520624,0.659088618556062,toy_00_synthesizability_26,184.08128356933594,0,0
