exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
drugs_04_novelty,0,5.637012481689453,43.9873125,32000,31929,9348,22652,1.0,1.0,1.0,0.38269687003458625,0.681022678647839,0.5277027455111315,0.49721606601245905,0.5354406857733573,drugs_04_novelty_0,441.16241455078125,2.3611397743225098,0.6031746864318848,1.4328216314315796,0.730158805847168
drugs_04_novelty,1,5.785584926605225,42.06234375,6400,6392,2259,4141,1.0,1.0,1.0,0.35688043803315445,0.674546259406817,0.5395447728108906,0.5070779168442584,0.55607142144306,drugs_04_novelty_1,649.3755493164062,0.8818427324295044,0.80952388048172,0.5158433318138123,0.8412699103355408
drugs_04_novelty,2,5.841090679168701,39.7965625,6400,6380,2572,3828,1.0,1.0,1.0,0.36183503281221313,0.6769440124416796,0.5269982289386944,0.5080951753607841,0.5732963502033925,drugs_04_novelty_2,530.0859985351562,0.35885778069496155,0.9206349849700928,0.2817535698413849,0.9365079998970032
drugs_04_novelty,3,5.867857456207275,38.06734375,6400,6362,2877,3523,1.0,1.0,1.0,0.39668714049229004,0.7012165450121653,0.5393438289419031,0.504740946829118,0.6009651172330952,drugs_04_novelty_3,503.6253662109375,0.263723760843277,0.888888955116272,0.24154354631900787,0.9206349849700928
drugs_04_novelty,4,5.8630218505859375,37.08875,6400,6357,2954,3446,1.0,1.0,1.0,0.3815667311971107,0.7030128639133378,0.5379234239960152,0.507979635453961,0.6107212616357988,drugs_04_novelty_4,458.9276123046875,0.11455141007900238,0.9523810148239136,0.2999694347381592,0.888888955116272
drugs_04_novelty,5,5.9078569412231445,35.399375,6400,6355,3327,3073,1.0,1.0,1.0,0.36324561545543915,0.7229636308987076,0.5500799489427953,0.5115087419940971,0.6295576730362586,drugs_04_novelty_5,466.5470886230469,0.0889379233121872,0.9841270446777344,0.07733957469463348,0.968254029750824
drugs_04_novelty,6,5.957158088684082,33.68,6400,6319,3497,2903,1.0,1.0,1.0,0.4264622105773339,0.7363454389476695,0.5446940576682967,0.5053682753099388,0.6499376685038527,drugs_04_novelty_6,501.6935729980469,0.04690904542803764,1.0,0.04373929649591446,0.9841270446777344
drugs_04_novelty,7,6.029821395874023,31.90546875,6400,6278,3696,2704,1.0,1.0,1.0,0.37380953141242973,0.7482954545454545,0.5399100583395354,0.5138037283581642,0.6637068257608792,drugs_04_novelty_7,419.0857238769531,0.043180257081985474,0.9841270446777344,0.03194151073694229,1.0
drugs_04_novelty,8,6.088250637054443,30.7925,6400,6206,3766,2634,1.0,1.0,1.0,0.44472653239415794,0.7502920870950611,0.5413864327162823,0.515547101905843,0.683476663290795,drugs_04_novelty_8,409.59967041015625,0.05837318301200867,0.9841270446777344,0.020026305690407753,1.0
drugs_04_novelty,9,6.138686656951904,29.5396875,6400,6141,3959,2441,1.0,1.0,1.0,0.33940827177702315,0.7657236675928265,0.5441957269474696,0.5216744405088615,0.7020314457982464,drugs_04_novelty_9,408.8792724609375,0.02098490484058857,1.0,0.009374203160405159,1.0
drugs_04_novelty,10,6.2438435554504395,28.305375,32000,28228,20992,11008,0.9999047256097561,1.0,0.9999333079268292,0.3855581551151098,0.7898389862804878,0.5406329532177597,0.5186935005923513,0.7299808611580002,drugs_04_novelty_10,407.286865234375,0.012051327154040337,1.0,0.01274826005101204,1.0
drugs_04_novelty,11,6.380229473114014,26.82703125,6400,5835,4491,1909,1.0,1.0,1.0,0.4677220010373811,0.8178134045869517,0.5351407829391748,0.5241627538345758,0.7514631102818243,drugs_04_novelty_11,388.8509521484375,0.00524166040122509,1.0,0.0052442122250795364,1.0
drugs_04_novelty,12,6.461729526519775,25.31125,6400,5465,4749,1651,1.0,1.0,1.0,0.4000695496160811,0.8329332491050746,0.5403515157198507,0.5288628025698462,0.782111100685554,drugs_04_novelty_12,408.9736328125,0.008594531565904617,1.0,0.0038106872234493494,1.0
drugs_04_novelty,13,6.553442001342773,24.2184375,6400,5196,4927,1473,1.0,1.0,1.0,0.47027988900583717,0.8407550233407755,0.5353632162881329,0.5329202122389001,0.7958841279701814,drugs_04_novelty_13,367.0632629394531,0.005457218736410141,1.0,0.00501526053994894,1.0
drugs_04_novelty,14,6.686207294464111,22.89921875,6400,4826,5043,1357,1.0,1.0,1.0,0.43207703263277436,0.8632361689470553,0.5252805081892612,0.532327091816008,0.8131938178550278,drugs_04_novelty_14,320.24859619140625,0.002520367968827486,1.0,0.003291698172688484,1.0
drugs_04_novelty,15,6.8598713874816895,21.43625,6400,4364,5193,1207,1.0,1.0,1.0,0.4350966171225275,0.8784517619872905,0.5260276523381301,0.5359717091111288,0.8361713245924988,drugs_04_novelty_15,281.4692077636719,0.0021703869570046663,1.0,0.0018022891599684954,1.0
drugs_04_novelty,16,6.970766067504883,19.96890625,6400,3920,5326,1074,1.0,1.0,1.0,0.5029066140450906,0.8879834772812617,0.5196712937210679,0.5430353501628,0.8526317778560172,drugs_04_novelty_16,339.470947265625,0.0024428449105471373,1.0,0.001436683814972639,1.0
drugs_04_novelty,17,7.066086292266846,19.50484375,6400,3676,5404,996,1.0,1.0,1.0,0.44809728571468377,0.8940969652109548,0.5242060947840379,0.5421478441647543,0.8650759331017983,drugs_04_novelty_17,214.94471740722656,0.002276887884363532,1.0,0.0015926804626360536,1.0
drugs_04_novelty,18,7.1710076332092285,18.79078125,6400,3434,5545,855,1.0,1.0,1.0,0.4758934642843781,0.905229936880072,0.5234275869790861,0.5464603702030029,0.8728591174116612,drugs_04_novelty_18,234.48707580566406,0.001831007655709982,1.0,0.0014046631986275315,1.0
drugs_04_novelty,19,7.190263748168945,18.92921875,6400,3404,5585,815,1.0,1.0,1.0,0.45985557088717727,0.9099731423455685,0.528520036862271,0.5412965598051499,0.8719642161246752,drugs_04_novelty_19,263.5303955078125,0.0008831322193145752,1.0,0.0034821752924472094,1.0
drugs_04_novelty,20,7.2043256759643555,19.16965625,32000,14146,28103,3897,1.0,0.9999644166103263,1.0,0.4778424007827548,0.9082802547770701,0.5365063580395836,0.5464702815655226,0.8684018626735793,drugs_04_novelty_20,262.1015930175781,0.0013956051552668214,1.0,0.002171823289245367,1.0
drugs_04_novelty,21,7.226804733276367,19.6584375,6400,3668,5589,811,1.0,1.0,1.0,0.49550723529530105,0.9091787439613526,0.5463554694315078,0.5490431467706584,0.8640709005613192,drugs_04_novelty_21,298.4009094238281,0.0010414443677291274,1.0,0.0008659433806315064,1.0
drugs_04_novelty,22,7.240264415740967,20.23875,6400,3770,5606,794,1.0,1.0,1.0,0.5216379735564073,0.9061719586157688,0.5572221276876294,0.5514487061316704,0.8617921758338717,drugs_04_novelty_22,305.6158752441406,0.0008952244534157217,1.0,0.0089284498244524,1.0
drugs_04_novelty,23,7.344255447387695,20.36515625,6400,3703,5683,717,1.0,1.0,1.0,0.4925507885866784,0.9061587189864508,0.5615822330733826,0.5507643610082391,0.8616321737860577,drugs_04_novelty_23,261.8194580078125,0.0013212128542363644,1.0,0.0014021095121279359,1.0
drugs_04_novelty,24,7.354034423828125,20.3471875,6400,3730,5620,780,1.0,1.0,1.0,0.47392286442227316,0.9092704626334519,0.5587214358877833,0.5537189491443631,0.857974665310304,drugs_04_novelty_24,334.44366455078125,0.0006872457452118397,1.0,0.011281407438218594,1.0
drugs_04_novelty,25,7.410781383514404,20.58015625,6400,3757,5575,825,1.0,1.0,1.0,0.5008744556976381,0.9103856502242151,0.5629089184309539,0.555366074767848,0.8597759797727942,drugs_04_novelty_25,290.0240478515625,0.0005259091849438846,1.0,0.0007086117402650416,1.0
drugs_04_novelty,26,7.436594009399414,20.825,6400,3806,5595,805,1.0,1.0,1.0,0.43959829760473906,0.9071313672922251,0.5648793881049577,0.5516137290082135,0.8570850178621413,drugs_04_novelty_26,275.9798583984375,0.0011876814533025026,1.0,0.0004872168938163668,1.0
drugs_04_novelty,27,7.476726055145264,20.7559375,6400,3791,5613,787,1.0,1.0,1.0,0.47925058886261546,0.9088544450383039,0.5639837459265842,0.5540127489610195,0.8576399502742608,drugs_04_novelty_27,325.1666564941406,0.0006688586436212063,1.0,0.0004888297407887876,1.0
drugs_04_novelty,28,7.429947376251221,20.8809375,6400,3782,5673,727,1.0,1.0,1.0,0.49771037438540927,0.9108760796756565,0.5655192156207778,0.5526439077982316,0.8566177726044829,drugs_04_novelty_28,310.19024658203125,0.0005038465606048703,1.0,0.000495429034344852,1.0
