exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
toy_00_novelty,0,8.83630657196045,13.75053125,32000,12995,24271,7729,0.4066581517036793,0.31688022743191463,0.5846607061925756,0.46462880859476585,0.998047052037411,0.23121186172231173,0.6179143703499993,0.30524518400102435,toy_00_novelty_0,190.56442260742188,0,0
toy_00_novelty,1,8.749095916748047,14.26546875,6400,4617,4576,1824,0.5260052447552448,0.45257867132867136,0.6682036713286713,0.49380520847295506,0.9981315559440557,0.23188889243211921,0.625304801432976,0.32551098058995076,toy_00_novelty_1,248.15606689453125,0,0
toy_00_novelty,2,8.612823486328125,14.98671875,6400,5016,4112,2288,0.6894455252918288,0.6442120622568094,0.7826118677042803,0.5103038522680783,0.9980787937743192,0.23292663564103838,0.6388020738536723,0.33950634471896785,toy_00_novelty_2,321.34185791015625,0,0
toy_00_novelty,3,8.516600608825684,15.60265625,6400,5288,3928,2472,0.8406313645621182,0.8093177189409368,0.8884419551934827,0.46716779038503553,0.9977851323828921,0.2366072976087507,0.6480136798126007,0.3527304640988834,toy_00_novelty_3,340.16326904296875,0,0
toy_00_novelty,4,8.425228118896484,16.18125,6400,5438,3833,2567,0.9042525436994521,0.8846856248369424,0.9329767805896164,0.5590981211790738,0.998030263501174,0.23819647185410064,0.6549074509815624,0.36542454783874334,toy_00_novelty_4,311.335693359375,0,0
toy_00_novelty,5,8.38547134399414,16.4371875,6400,5545,3623,2777,0.9384487993375655,0.9188517802925752,0.9569141595362959,0.5768166418409527,0.9977090808722053,0.24423462950309993,0.6632980023743191,0.3752083203834864,toy_00_novelty_5,361.98724365234375,0,0
toy_00_novelty,6,8.343619346618652,16.69484375,6400,5544,3619,2781,0.9461177120751589,0.9278806300082896,0.9622823984526112,0.6152523611300433,0.9976927327991159,0.24257285289256703,0.6665948746356171,0.3807541074597593,toy_00_novelty_6,355.99896240234375,0,0
toy_00_novelty,7,8.322093963623047,16.84484375,6400,5538,3516,2884,0.9539249146757679,0.9388509670079636,0.9677474402730376,0.6944894475033926,0.9978384527872582,0.24601968039560254,0.6724472748925656,0.383601274007854,toy_00_novelty_7,373.2775573730469,0,0
toy_00_novelty,8,8.312158584594727,16.9125,6400,5539,3437,2963,0.9519930171661333,0.9342449810881582,0.9663951120162932,0.6017501974829174,0.9979487925516439,0.24570959181231986,0.6769510903129737,0.3812277321915992,toy_00_novelty_8,336.8786926269531,0,0
toy_00_novelty,9,8.320405960083008,16.854375,6400,5466,3509,2891,0.9521231119977202,0.9373040752351097,0.9664861783984041,0.6379413187797048,0.998375605585637,0.24506467242528754,0.6806896612252358,0.3858345439383667,toy_00_novelty_9,343.0516662597656,0,0
toy_00_novelty,10,8.339658737182617,16.72103125,32000,21811,18076,13924,0.9528103562735118,0.9356052223943351,0.9669672493914584,0.5952192136581178,0.998132883381279,0.24652338033821752,0.6849766229331313,0.3865213453744696,toy_00_novelty_10,397.68975830078125,0,0
toy_00_novelty,11,8.371726036071777,16.55453125,6400,5340,3769,2631,0.9448129477314937,0.926240382064208,0.9613690634120456,0.56208028806562,0.9979437516582648,0.246865580942143,0.6869978229746829,0.3923377366794698,toy_00_novelty_11,415.9848937988281,0,0
