exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
toy_06_drug-candidate,141,9.3915376663208,10.39875,6400,2131,5963,437,0.36793560288445415,0.23310414221029682,0.5575549220191178,0.694549948584542,0.9991111856448096,0.25573504084070336,0.620373630378767,0.4029226149291108,toy_06_drug-candidate_141,184.56982421875,0.30125656723976135,0.8571428656578064,0.254983514547348,0.9285714030265808,0.30095019936561584,0.8571428656578064
toy_06_drug-candidate,142,9.379800796508789,10.47640625,6400,2217,5952,448,0.3761760752688172,0.23571908602150538,0.563323252688172,0.6569481368382777,0.999277553763441,0.2554166747291233,0.6273118877516257,0.4048488667679311,toy_06_drug-candidate_142,184.06350708007812,0.3951951265335083,0.75,0.2022905796766281,0.8928571343421936,0.21368005871772766,0.8928571343421936
toy_06_drug-candidate,143,9.366954803466797,10.54875,6400,2210,5945,455,0.383515559293524,0.23549201009251472,0.5684608915054667,0.661361251412782,0.9991084945332214,0.2552446870069702,0.6288188935264746,0.4006812978052641,toy_06_drug-candidate_143,180.0436248779297,0.2811722159385681,0.8214285969734192,0.23091243207454681,0.8214285969734192,0.2703085243701935,0.9285714030265808
toy_06_drug-candidate,144,9.34713363647461,10.66390625,6400,2325,5888,512,0.3921535326086957,0.24490489130434784,0.5745074728260869,0.6373376396383231,0.9994395380434784,0.254803851061305,0.6305992583020034,0.3991116323515474,toy_06_drug-candidate_144,175.1613006591797,0.21716175973415375,0.9285714030265808,0.5466617941856384,0.7857142686843872,0.1783052384853363,0.9285714030265808
toy_06_drug-candidate,145,9.34602165222168,10.6875,6400,2300,5833,567,0.3809360534887708,0.23127035830618892,0.5666552374421394,0.6576156788575288,0.9991170924052803,0.255156678693921,0.6388766512760554,0.3977924336798583,toy_06_drug-candidate_145,177.63526916503906,0.37064075469970703,0.7142857313156128,0.3638879656791687,0.7857142686843872,0.15450477600097656,0.9285714030265808
toy_06_drug-candidate,146,9.332252502441406,10.87265625,6400,2335,5840,560,0.3863013698630137,0.23835616438356164,0.5704109589041095,0.6677127474739576,0.9994006849315068,0.2529378626764552,0.6440107395415979,0.3799748083034639,toy_06_drug-candidate_146,182.0255126953125,0.3408099412918091,0.8571428656578064,0.3416941463947296,0.8214285969734192,0.27020952105522156,0.8928571343421936
toy_06_drug-candidate,147,9.32921028137207,10.9153125,6400,2344,5850,550,0.38666666666666666,0.2358974358974359,0.5706666666666667,0.6144545393088905,0.9993247863247864,0.25334001993962574,0.6443916615019462,0.3777294064558617,toy_06_drug-candidate_147,179.1524200439453,0.26375389099121094,0.9285714030265808,0.3111870586872101,0.8928571343421936,0.38385093212127686,0.8214285969734192
toy_06_drug-candidate,148,9.323627471923828,10.97703125,6400,2271,5889,511,0.391407709288504,0.228391917133639,0.5739853965019528,0.6520747104525506,0.9994990660553574,0.25249811330990973,0.6451961999093658,0.36869845341234997,toy_06_drug-candidate_148,176.8589630126953,0.33288729190826416,0.75,0.2509700357913971,0.8571428656578064,0.14371688663959503,0.9642857313156128
toy_06_drug-candidate,149,9.324295997619629,11.05890625,6400,2298,5916,484,0.3843813387423935,0.22751859364435428,0.5690669371196754,0.6131847586217393,0.9995267072346181,0.253193759201427,0.6399748372433445,0.3678717079607711,toy_06_drug-candidate_149,173.1221160888672,0.21569249033927917,0.9285714030265808,0.17752774059772491,0.9642857313156128,0.4293181300163269,0.8214285969734192
toy_06_drug-candidate,150,9.329917907714844,11.04284375,32000,6182,29236,2764,0.38798057189766044,0.22123409495142973,0.5715864003283624,0.5724371413782133,0.9995074565604051,0.2528901155623945,0.6405481062178702,0.3610617886696935,toy_06_drug-candidate_150,194.80885314941406,0.194950670003891,0.9642857313156128,0.3293739855289459,0.8214285969734192,0.38141363859176636,0.8571428656578064
toy_06_drug-candidate,151,9.321416854858398,11.18140625,6400,2395,5801,599,0.394069987933115,0.22306498879503533,0.5758489915531805,0.5643866475186284,0.9993449405274953,0.25138274150024326,0.6362891947433154,0.35869861692619437,toy_06_drug-candidate_151,169.52040100097656,0.5809788107872009,0.8571428656578064,0.15095888078212738,0.9642857313156128,0.39318612217903137,0.8214285969734192
toy_06_drug-candidate,152,9.311251640319824,11.23546875,6400,2414,5842,558,0.40482711400205407,0.23450872988702498,0.5833789798014378,0.5977061845287353,0.9993752139678193,0.25307285107017335,0.6317750857284375,0.35779487633507123,toy_06_drug-candidate_152,179.47698974609375,0.27251800894737244,0.8571428656578064,0.23030929267406464,0.9285714030265808,0.20352768898010254,0.9285714030265808
toy_06_drug-candidate,153,9.310735702514648,11.3240625,6400,2439,5733,667,0.3936856793999651,0.22693179836036978,0.5755799755799755,0.552970311817201,0.9996162567591139,0.2506443032661007,0.6278229703730609,0.3548184502775798,toy_06_drug-candidate_153,181.8844451904297,0.24657005071640015,0.8928571343421936,0.3716196119785309,0.75,0.2399379312992096,0.8571428656578064
toy_06_drug-candidate,154,9.303296089172363,11.41265625,6400,2472,5818,582,0.40701271914747333,0.24321072533516672,0.5849089034032313,0.5749973646930938,0.999570299071846,0.24608126286125837,0.6126739992906364,0.3469371885454088,toy_06_drug-candidate_154,186.34912109375,0.2973368763923645,0.8214285969734192,0.33190664649009705,0.8571428656578064,0.3534013330936432,0.8214285969734192
toy_06_drug-candidate,155,9.318016052246094,11.33421875,6400,2415,5845,555,0.42053036783575704,0.2504704875962361,0.59437125748503,0.5955823238049373,0.9992899914456801,0.2493060909408954,0.6190216760926283,0.354003635546619,toy_06_drug-candidate_155,179.4261016845703,0.27571016550064087,0.8928571343421936,0.8217072486877441,0.75,0.4916503131389618,0.75
toy_06_drug-candidate,156,9.311991691589355,11.3334375,6400,2396,5860,540,0.4061433447098976,0.24112627986348123,0.5843003412969282,0.484860651583011,0.9995648464163822,0.24855544392904338,0.6176199004323166,0.3480859521100774,toy_06_drug-candidate_156,190.11044311523438,0.3492372930049896,0.7857142686843872,0.30374854803085327,0.8928571343421936,0.2136647254228592,0.8928571343421936
