exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
smallmols_10_drug-candidate,122,6.2039899826049805,40.8475,6400,6390,2382,4018,0.9995801847187238,0.9995801847187238,0.9997061293031068,0.3652253131456095,0.9936607892527286,0.625233664540303,0.4261911332724698,0.6345786713861794,smallmols_10_drug-candidate_122,7.67058801651001,0.0023222705349326134,1.0,0.0014414754696190357,1.0,0.002161619486287236,1.0,0.0013679059920832515,1.0,0.0014028676087036729,1.0
smallmols_10_drug-candidate,123,6.254510402679443,40.12875,6400,6393,2406,3994,1.0,1.0,1.0,0.3315168782027041,0.9940980881130508,0.6197646808160593,0.4340771854461974,0.6272327244333408,smallmols_10_drug-candidate_123,15.285547256469727,0.002192823216319084,1.0,0.0013889884576201439,1.0,0.0013074862072244287,1.0,0.0021921773441135883,1.0,0.0014360331697389483,1.0
smallmols_10_drug-candidate,124,6.299013137817383,39.435,6400,6392,2376,4024,0.9995791245791246,0.9995791245791246,0.9997053872053873,0.33538390700434073,0.9931818181818183,0.6070109136352608,0.4308574536284165,0.6314084769377318,smallmols_10_drug-candidate_124,14.945160865783691,0.00140970794018358,1.0,0.0015790320467203856,1.0,0.0022237328812479973,1.0,0.0014014632906764746,1.0,0.0013162653194740415,1.0
smallmols_10_drug-candidate,125,6.354282379150391,38.60125,6400,6391,2473,3927,0.9995956328346138,0.9995956328346138,0.9997169429842298,0.3577917407663681,0.9945410432672867,0.5894268892371541,0.4375297632454449,0.6214338092357113,smallmols_10_drug-candidate_125,14.424459457397461,0.0013368040090426803,1.0,0.0015374807408079505,1.0,0.0014275043504312634,1.0,0.0020270743407309055,1.0,0.001415218343026936,1.0
smallmols_10_drug-candidate,126,6.41583251953125,37.64828125,6400,6393,2444,3956,1.0,1.0,1.0,0.30988783859708635,0.9943126022913257,0.5820030962916519,0.4356438514712656,0.6327310641633733,smallmols_10_drug-candidate_126,6.651558876037598,0.002668938599526882,1.0,0.0013014298165217042,1.0,0.0013931032735854387,1.0,0.0012109712697565556,1.0,0.0027492428198456764,1.0
smallmols_10_drug-candidate,127,6.474177360534668,36.57171875,6400,6395,2574,3826,1.0,1.0,1.0,0.3495309048353293,0.9944055944055944,0.5749435446018266,0.43913051875163067,0.6288004951878202,smallmols_10_drug-candidate_127,13.010926246643066,0.0012305384734645486,1.0,0.001342088682577014,1.0,0.001310253399424255,1.0,0.001223806757479906,1.0,0.0012141764163970947,1.0
smallmols_10_drug-candidate,128,6.549229145050049,35.44109375,6400,6385,2649,3751,1.0,1.0,1.0,0.37553075849378886,0.9948282370705928,0.5681205327210467,0.4384462097952328,0.6255542631029588,smallmols_10_drug-candidate_128,8.022159576416016,0.0015406159218400717,1.0,0.0013535157777369022,1.0,0.0016688047908246517,1.0,0.0012070229277014732,1.0,0.0012258908245712519,1.0
smallmols_10_drug-candidate,129,6.603771209716797,34.81203125,6400,6386,2657,3743,1.0,1.0,1.0,0.3706613188212112,0.9931878057960106,0.5546940442200609,0.4464753709692248,0.6186123679876235,smallmols_10_drug-candidate_129,4.2358784675598145,0.001300029456615448,1.0,0.0012943869223818183,1.0,0.001924961805343628,1.0,0.0015270678559318185,1.0,0.002700472716242075,1.0
smallmols_10_drug-candidate,130,6.6461687088012695,34.20375,32000,31823,13488,18512,0.9997775800711743,0.9997775800711743,0.9998443060498222,0.38867121023051765,0.9946693357058126,0.5490056418894301,0.44706558995625334,0.6131353589293588,smallmols_10_drug-candidate_130,12.01992416381836,0.0012040867004543543,1.0,0.0011696788715198636,1.0,0.001565073151141405,1.0,0.0022985562682151794,1.0,0.0012599227484315634,1.0
smallmols_10_drug-candidate,131,6.679437160491943,33.71015625,6400,6393,2701,3699,1.0,1.0,1.0,0.38084827240080155,0.994816734542762,0.5427639201306783,0.44729793567860215,0.6097022665985002,smallmols_10_drug-candidate_131,5.490342617034912,0.0012598203029483557,1.0,0.0012449398636817932,1.0,0.0013107648119330406,1.0,0.0012480695731937885,1.0,0.0013510967837646604,1.0
smallmols_10_drug-candidate,132,6.71650505065918,33.2009375,6400,6387,2818,3582,1.0,1.0,1.0,0.3834686511257199,0.9944286728176012,0.5345555107658608,0.4589101627986389,0.6003032105053965,smallmols_10_drug-candidate_132,7.800294876098633,0.002037231344729662,1.0,0.0013407780788838863,1.0,0.0017221367452293634,1.0,0.0011725779622793198,1.0,0.0013094368623569608,1.0
smallmols_10_drug-candidate,133,6.7544684410095215,32.82078125,6400,6393,2803,3597,1.0,1.0,1.0,0.4041933564570562,0.9943631823046737,0.5344447828238663,0.4685467984350504,0.596693769898261,smallmols_10_drug-candidate_133,4.5943989753723145,0.002197375986725092,1.0,0.001220656675286591,1.0,0.0011886176653206348,1.0,0.0013714615488424897,1.0,0.001162943197414279,1.0
smallmols_10_drug-candidate,134,6.740817070007324,33.05640625,6400,6395,2749,3651,1.0,0.9996362313568571,1.0,0.3841142778589769,0.9935612950163697,0.5354143188028108,0.47343825434369746,0.5880777830422568,smallmols_10_drug-candidate_134,5.356410026550293,0.002552102319896221,1.0,0.0019544195383787155,1.0,0.0013524971436709166,1.0,0.0011980037670582533,1.0,0.0012082824250683188,1.0
smallmols_10_drug-candidate,135,6.769542217254639,32.9003125,6400,6394,2745,3655,1.0,1.0,1.0,0.36022725131841843,0.9928233151183969,0.5231297228824264,0.48688791471471177,0.5763392531814877,smallmols_10_drug-candidate_135,2.8784894943237305,0.0013131812447682023,1.0,0.0012810659827664495,1.0,0.0035066704731434584,1.0,0.0017865204717963934,1.0,0.001514035975560546,1.0
smallmols_10_drug-candidate,136,6.732819080352783,33.84796875,6400,6394,2753,3647,1.0,1.0,1.0,0.34928254390525343,0.9931347620777333,0.5292123269356303,0.49230865951820363,0.562559721854145,smallmols_10_drug-candidate_136,8.764884948730469,0.0011976007372140884,1.0,0.0011852808529511094,1.0,0.0016221944242715836,1.0,0.0014369008131325245,1.0,0.0014678064035251737,1.0
