exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
smallmols_08_synthesizability,17,7.115527153015137,21.92140625,6400,5185,5467,933,1.0,1.0,1.0,0.5291502690195069,0.9985549661606,0.6563770764021273,0.55049581242092,0.8507244453863785,smallmols_08_synthesizability_17,115.58142852783203,0.0005913330242037773,1.0,0.001098129665479064,1.0,0.0008744935621507466,1.0,0.0007177992956712842,1.0
smallmols_08_synthesizability,18,7.0519866943359375,22.0628125,6400,5204,5459,941,1.0,0.9998168162667155,1.0,0.518091295576939,0.998772668986994,0.6653209580132657,0.5507470381728331,0.8466586001722105,smallmols_08_synthesizability_18,113.00071716308594,0.0007571326568722725,1.0,0.0007091019069775939,1.0,0.0006873736274428666,1.0,0.0006183107034303248,1.0
smallmols_08_synthesizability,19,7.0385589599609375,22.0521875,6400,5106,5536,864,1.0,1.0,1.0,0.5668455784457193,0.9989342485549133,0.6698895672497912,0.5488239216123069,0.8531255556604912,smallmols_08_synthesizability_19,97.84917449951172,0.0005815749755129218,1.0,0.008162559010088444,1.0,0.0005676171858794987,1.0,0.0006522469921037555,1.0
smallmols_08_synthesizability,20,7.002409934997559,22.4304375,32000,21664,28167,3833,0.9998934923847055,0.9998934923847055,0.9999254446692939,0.5479334768696636,0.9987396598856818,0.6738635291157957,0.5473288411390647,0.85162866809072,smallmols_08_synthesizability_20,121.83824920654297,0.0006068688235245645,1.0,0.0007081830990500748,1.0,0.002043551066890359,1.0,0.0010335062397643924,1.0
smallmols_08_synthesizability,21,7.00791072845459,22.46078125,6400,5152,5720,680,0.9998251748251749,0.9998251748251749,0.9998776223776225,0.5207602129481521,0.9989335664335666,0.6753899217796919,0.5452198982271423,0.8564107688724985,smallmols_08_synthesizability_21,119.23141479492188,0.0006068941438570619,1.0,0.0005673471605405211,1.0,0.0005689579993486404,1.0,0.0006163014331832528,1.0
smallmols_08_synthesizability,22,7.0493011474609375,22.06390625,6400,5104,5724,676,0.9998252969951084,0.9998252969951084,0.9998777078965758,0.4975549595794497,0.9987770789657582,0.669382737645994,0.5479934607657077,0.8646190511451018,smallmols_08_synthesizability_22,105.87757110595703,0.000508398050442338,1.0,0.025417886674404144,1.0,0.00046938564628362656,1.0,0.0006972429109737277,1.0
smallmols_08_synthesizability,23,7.08619499206543,21.53046875,6400,4900,5753,647,1.0,1.0,1.0,0.46550295976786327,0.9990092125847383,0.6665048867262428,0.5506293837170328,0.8711345430404973,smallmols_08_synthesizability_23,109.8690185546875,0.00046617939369753003,1.0,0.00048317245091311634,1.0,0.0007568654837086797,1.0,0.0010886297095566988,1.0
smallmols_08_synthesizability,24,7.12794303894043,20.64890625,6400,4658,5821,579,0.9998282082116475,0.9998282082116475,0.9998797457481533,0.5448749348332511,0.9984882322624978,0.6579238096112624,0.5443958204157405,0.8843748739581683,smallmols_08_synthesizability_24,110.93016052246094,0.00047156072105281055,1.0,0.0004036654718220234,1.0,0.0005404613330028951,1.0,0.00047679460840299726,1.0
smallmols_08_synthesizability,25,7.192929267883301,20.09078125,6400,4451,5859,541,1.0,1.0,1.0,0.49794163803889363,0.9993855606758832,0.6477490297421934,0.5385214619028634,0.8905524760588595,smallmols_08_synthesizability_25,111.62106323242188,0.0004634018987417221,1.0,0.0005359197384677827,1.0,0.00042048475006595254,1.0,0.0005443401169031858,1.0
smallmols_08_synthesizability,26,7.206175327301025,19.30265625,6400,4222,5866,534,1.0,1.0,1.0,0.5780568728262501,0.9991817251960451,0.6386051513412514,0.5327899471327724,0.8973524589038843,smallmols_08_synthesizability_26,94.95020294189453,0.00041872524889186025,1.0,0.0004212932544760406,1.0,0.00035447077243588865,1.0,0.0009226581314578652,1.0
smallmols_08_synthesizability,27,7.2537713050842285,18.76203125,6400,4026,5847,553,0.999657944244912,0.999657944244912,0.9997605609714384,0.4987977128805841,0.9993671968530871,0.6329219544871703,0.5324430243032919,0.9016104651341623,smallmols_08_synthesizability_27,103.89498901367188,0.0003285242710262537,1.0,0.0005056240479461849,1.0,0.00043179464410059154,1.0,0.0003229852591175586,1.0
smallmols_08_synthesizability,28,7.235028266906738,18.85734375,6400,4083,5845,555,1.0,1.0,1.0,0.5229574282019184,0.9989734816082122,0.6388415492870277,0.5326181146246722,0.901518899500447,smallmols_08_synthesizability_28,103.4927978515625,0.0008557022083550692,1.0,0.00046775475493632257,1.0,0.00034362738369964063,1.0,0.0004998829681426287,1.0
smallmols_08_synthesizability,29,7.2378249168396,19.0590625,6400,4127,5902,498,0.9998305659098611,0.9998305659098611,0.9998813961369027,0.5451855840547792,0.9991358861402915,0.6439794806398005,0.5344978362613949,0.9040346644047385,smallmols_08_synthesizability_29,99.65668487548828,0.00036983040627092123,1.0,0.0004896551254205406,1.0,0.0003593836154323071,1.0,0.00034118277835659683,1.0
smallmols_08_synthesizability,30,7.306436538696289,18.75609375,32000,15128,29501,2499,0.9999322056879428,0.9999322056879428,0.9999525439815599,0.5742132009199065,0.9991695196772991,0.6466129899881369,0.5452743152415915,0.9116808437234359,smallmols_08_synthesizability_30,109.4461898803711,0.0003500422462821007,1.0,0.0003055408888030797,1.0,0.0004035203601233661,1.0,0.0004616287478711456,1.0
smallmols_08_synthesizability,31,7.373790740966797,18.611875,6400,3974,5903,497,1.0,1.0,1.0,0.5912938184653722,0.99922073521938,0.6519104887857535,0.5548560329714578,0.9170889722458517,smallmols_08_synthesizability_31,107.376220703125,0.00028586480766534805,1.0,0.0003406819305382669,1.0,0.0025958262849599123,1.0,0.00036768848076462746,1.0
smallmols_08_synthesizability,32,7.429901123046875,18.3634375,6400,3747,5923,477,0.9998311666385278,0.9998311666385278,0.9998818166469695,0.5615972467447234,0.9992233665372277,0.6574671071643948,0.5616180414475144,0.9251291306698568,smallmols_08_synthesizability_32,103.0241928100586,0.00036132443347014487,1.0,0.00030652701389044523,1.0,0.000312821997795254,1.0,0.0005069784820079803,1.0
