exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
drugs_06_solubility,0,5.637984275817871,43.92584375,32000,31944,9320,22680,1.0,1.0,1.0,0.3834100910596979,0.6918454935622317,0.5325999507292218,0.49589718417391276,0.5416919159478185,drugs_06_solubility_0,354.962890625,2.5807127952575684,0.4761905372142792,1.3682888746261597,0.7936508655548096,0.9232578277587891,0.7777778506278992
drugs_06_solubility,1,5.736822605133057,45.3684375,6400,6395,1743,4657,1.0,1.0,1.0,0.34638022310945726,0.6775100401606425,0.5352970432749774,0.490683393455487,0.5333816251115931,drugs_06_solubility_1,623.5835571289062,0.4609789252281189,0.9206349849700928,0.38571789860725403,0.9047619700431824,0.21664461493492126,0.9523810148239136
drugs_06_solubility,2,5.819558620452881,45.09953125,6400,6397,1627,4773,1.0,1.0,1.0,0.34160744161563267,0.6888137676705594,0.5283625843959827,0.49581627485610413,0.5374186320006639,drugs_06_solubility_2,328.4324035644531,0.21387165784835815,0.9365079998970032,0.269228994846344,0.9047619700431824,0.21167820692062378,0.9365079998970032
drugs_06_solubility,3,5.880204677581787,43.7965625,6400,6393,1867,4533,1.0,1.0,1.0,0.3786206750582909,0.6903053026245313,0.5358868965496962,0.5008499213311948,0.5444029463935101,drugs_06_solubility_3,151.9193878173828,0.12029865384101868,0.968254029750824,0.21293605864048004,0.9365079998970032,0.069704070687294,0.9841270446777344
drugs_06_solubility,4,5.875211238861084,42.7525,6400,6393,2113,4287,1.0,1.0,1.0,0.3666950081501719,0.7254141031708471,0.5419267105684338,0.48865924549100226,0.5749469413637,drugs_06_solubility_4,213.12281799316406,0.07022020220756531,0.9841270446777344,0.10536660254001617,0.9523810148239136,0.1250361055135727,0.9206349849700928
drugs_06_solubility,5,5.882997035980225,40.52328125,6400,6384,2422,3978,1.0,1.0,1.0,0.3600586309126663,0.734186622625929,0.5441310754241377,0.48837738021768257,0.59131467093228,drugs_06_solubility_5,164.5128936767578,0.047027282416820526,1.0,0.0425872765481472,1.0,0.04491744935512543,1.0
drugs_06_solubility,6,5.882310390472412,38.265,6400,6379,2529,3871,0.9996045867931989,0.9996045867931989,0.9997232107552393,0.4063040334429551,0.7353103993673389,0.5487683417840017,0.49529195199597115,0.615874543423215,drugs_06_solubility_6,178.74099731445312,0.07030053436756134,0.9841270446777344,0.05123639106750488,1.0,0.06430483609437943,0.9841270446777344
drugs_06_solubility,7,5.897192001342773,36.32578125,6400,6367,2588,3812,1.0,1.0,1.0,0.37521435859700136,0.7465610510046368,0.5486421899643363,0.5025870797864535,0.6399460843922756,drugs_06_solubility_7,216.33145141601562,0.06125485524535179,0.9841270446777344,0.03301713243126869,0.9841270446777344,0.04292818158864975,0.9841270446777344
drugs_06_solubility,8,5.922092914581299,34.648125,6400,6334,2729,3671,1.0,1.0,1.0,0.4366654990694563,0.7648589226823013,0.5507119998255404,0.5066689667979434,0.6577109399054683,drugs_06_solubility_8,161.10858154296875,0.0139545239508152,1.0,0.017049822956323624,1.0,0.010951954871416092,1.0
drugs_06_solubility,9,5.992283344268799,33.3496875,6400,6302,2988,3412,0.999665327978581,0.999665327978581,0.9997657295850068,0.35277820464848103,0.7617135207496654,0.5589844345888635,0.5122314461898471,0.6742093694202148,drugs_06_solubility_9,158.91769409179688,0.01776137202978134,1.0,0.031118810176849365,0.9841270446777344,0.026309235021471977,0.9841270446777344
drugs_06_solubility,10,6.087759494781494,31.8524375,32000,30213,16791,15209,1.0,0.9999404442856292,1.0,0.38177525467353346,0.7854088499791555,0.5691393613832288,0.508067492793361,0.7065046264824562,drugs_06_solubility_10,189.80935668945312,0.039865244179964066,1.0,0.010975419543683529,1.0,0.05016254633665085,0.9841270446777344
drugs_06_solubility,11,6.215682506561279,30.63703125,6400,6108,3652,2748,1.0,1.0,1.0,0.43909142263973594,0.7910733844468785,0.5783898299912483,0.5087825383284117,0.7325032288595157,drugs_06_solubility_11,168.1324462890625,0.031053243204951286,0.9841270446777344,0.006683701183646917,1.0,0.008005448617041111,1.0
drugs_06_solubility,12,6.3324666023254395,29.71125,6400,5986,4029,2371,0.9997517994539588,0.9997517994539588,0.9998262596177712,0.3507031074669115,0.811590965500124,0.5909309932862052,0.5047863697364446,0.7601479603693784,drugs_06_solubility_12,181.10194396972656,0.007118667475879192,1.0,0.004916582256555557,1.0,0.018962426111102104,0.9841270446777344
drugs_06_solubility,13,6.460999011993408,28.68703125,6400,5878,4200,2200,1.0,1.0,1.0,0.4160453258041254,0.8092142857142857,0.6022016633178332,0.509322339192412,0.776051212394272,drugs_06_solubility_13,159.01263427734375,0.005860139150172472,1.0,0.003667521057650447,1.0,0.0034230249002575874,1.0
drugs_06_solubility,14,6.555877685546875,27.28234375,6400,5670,4509,1891,1.0,1.0,1.0,0.3638434172490772,0.8247061432690176,0.6077548827329033,0.5170949931779741,0.7938965087672876,drugs_06_solubility_14,165.8961181640625,0.01278918981552124,1.0,0.004508504644036293,1.0,0.0032733241096138954,1.0
drugs_06_solubility,15,6.68507194519043,26.38046875,6400,5414,4743,1657,1.0,1.0,1.0,0.3531183743077715,0.8417457305502846,0.6123063488910923,0.5223259300808211,0.8172677073103344,drugs_06_solubility_15,184.79373168945312,0.0024424802977591753,1.0,0.004233041778206825,1.0,0.0019027853850275278,1.0
