exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
toy_00_diversity,0,8.854424476623535,13.65740625,32000,12914,24356,7644,0.4017490556741665,0.3119149285596978,0.5812243389719165,0.46583759306828604,0.9981996222696666,0.23100249105620949,0.6172832651061404,0.30773956860416585,toy_00_diversity_0,205.52822875976562,0,0
toy_00_diversity,1,8.939105033874512,13.1009375,6400,3855,4876,1524,0.4001230516817063,0.29245283018867924,0.5800861361771944,0.5370270647083981,0.9978055783429041,0.23055675612459753,0.6302788121703533,0.2983830551346224,toy_00_diversity_1,222.6201934814453,0,0
toy_00_diversity,2,9.008094787597656,12.62359375,6400,3618,4966,1434,0.3809907370116794,0.2797019734192509,0.5666935159081755,0.5756160702963903,0.9978352799033428,0.23298590413400397,0.6555214371208165,0.30218399640120863,toy_00_diversity_2,247.64633178710938,0,0
toy_00_diversity,3,9.05289363861084,12.33703125,6400,3566,4912,1488,0.38538273615635177,0.27911237785016285,0.5697679153094463,0.6459731150240767,0.998503664495114,0.23877986765347206,0.6730426952993583,0.30660568937333865,toy_00_diversity_3,257.876708984375,0,0
toy_00_diversity,4,9.111701965332031,11.94109375,6400,3291,4996,1404,0.37610088070456366,0.2744195356285028,0.5632706164931945,0.6608635195355865,0.9987389911929545,0.24776441589610368,0.6948612329720171,0.3093752422405313,toy_00_diversity_4,231.4656982421875,0,0
toy_00_diversity,5,9.178899765014648,11.448125,6400,3106,5139,1261,0.3693325549717844,0.2634753843160148,0.558532788480249,0.7408058305569284,0.9988713757540377,0.2496642555893781,0.7054284870599375,0.30975388253702324,toy_00_diversity_5,226.8975067138672,0,0
toy_00_diversity,6,9.258800506591797,10.94578125,6400,2850,5199,1201,0.35679938449701865,0.2508174648970956,0.549759569147913,0.7345779649505222,0.9990959799961532,0.25329222760789305,0.716165841083835,0.3137214194466035,toy_00_diversity_6,242.50418090820312,0,0
toy_00_diversity,7,9.301234245300293,10.61828125,6400,2648,5324,1076,0.3518031555221638,0.2432381667918858,0.5462622088655145,0.78369681570696,0.9988636363636365,0.2558509241357497,0.7133036177034406,0.31442105865082987,toy_00_diversity_7,227.5727081298828,0,0
toy_00_diversity,8,9.37375259399414,10.18640625,6400,2432,5425,975,0.34525345622119813,0.2287557603686636,0.5416774193548386,0.782111348629087,0.9990875576036866,0.2564287430448303,0.7230000691689232,0.3167523714551268,toy_00_diversity_8,224.44244384765625,0,0
toy_00_diversity,9,9.438312530517578,9.806875,6400,2308,5424,976,0.3235619469026549,0.21146755162241887,0.5264933628318583,0.8072285401643211,0.9988569321533923,0.2577363585312832,0.720482070711041,0.3203224528272523,toy_00_diversity_9,186.21310424804688,0,0
