exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
smallmols_02_solubility,0,6.395196914672852,41.491,32000,31973,12856,19144,1.0,1.0,1.0,0.3742481466755238,0.9882311761045427,0.5523347292225337,0.5125152489263589,0.5008246472711101,smallmols_02_solubility_0,385.7997131347656,0.018083959817886353,1.0
smallmols_02_solubility,1,6.4590044021606445,38.66171875,6400,6398,2771,3629,1.0,1.0,1.0,0.31830976911101233,0.9908336340671239,0.5805142470984835,0.5223366850703081,0.5346657815622544,smallmols_02_solubility_1,396.740966796875,0.04638398066163063,0.9545454978942871
smallmols_02_solubility,2,6.488068103790283,37.23015625,6400,6397,3075,3325,1.0,0.9996747967479674,1.0,0.3759672631510663,0.9923252032520326,0.6281339649978311,0.5307836651375749,0.5650801367476695,smallmols_02_solubility_2,386.12152099609375,0.007320077158510685,1.0
smallmols_02_solubility,3,6.527496814727783,35.8084375,6400,6393,3323,3077,1.0,1.0,1.0,0.34085253689207246,0.9938007824255192,0.6447552457006761,0.5235209909060755,0.595119785631076,smallmols_02_solubility_3,441.67431640625,0.005264700390398502,1.0
smallmols_02_solubility,4,6.480403900146484,35.77234375,6400,6388,3493,2907,1.0,1.0,1.0,0.34046454379332264,0.9959347265960493,0.6765396755178881,0.5297998937023837,0.6147812297753092,smallmols_02_solubility_4,362.3274230957031,0.009844213724136353,1.0
smallmols_02_solubility,5,6.549625396728516,33.903125,6400,6383,3672,2728,1.0,1.0,1.0,0.3376053901912753,0.9961056644880174,0.6922548663199792,0.541224194278674,0.6438213378482691,smallmols_02_solubility_5,449.81243896484375,0.008040804415941238,1.0
smallmols_02_solubility,6,6.661444187164307,31.46640625,6400,6375,4021,2379,1.0,1.0,1.0,0.3736432335177035,0.9963939318577468,0.6927137743518366,0.5621196018093443,0.6665737184075419,smallmols_02_solubility_6,441.35638427734375,0.00908266007900238,1.0
smallmols_02_solubility,7,6.786561965942383,29.10265625,6400,6318,4353,2047,1.0,1.0,1.0,0.40830515141553203,0.9968757178957041,0.6896480095425868,0.5715147015021698,0.6910995830648735,smallmols_02_solubility_7,435.68603515625,0.003768111113458872,1.0
smallmols_02_solubility,8,6.822443962097168,27.89875,6400,6264,4507,1893,1.0,1.0,1.0,0.3843769452325406,0.9976924783669848,0.701972875221799,0.5780163375656243,0.7176429032171029,smallmols_02_solubility_8,416.20867919921875,0.006039268337190151,1.0
smallmols_02_solubility,9,6.901806831359863,26.36859375,6400,6149,4576,1824,1.0,1.0,1.0,0.45934741326945966,0.9980113636363638,0.690539444180267,0.5950727715879666,0.7281976561316714,smallmols_02_solubility_9,398.37554931640625,0.0024550522211939096,1.0
smallmols_02_solubility,10,6.956387519836426,25.46075,32000,27701,24125,7875,0.9999170984455958,0.9999170984455958,0.999941968911917,0.4634750737890887,0.9981968911917098,0.6899510334944541,0.593780079662161,0.7383210626429398,smallmols_02_solubility_10,408.81805419921875,0.0051611196249723434,1.0
smallmols_02_solubility,11,6.947814464569092,25.21921875,6400,5929,4995,1405,1.0,1.0,1.0,0.474038514896241,0.998078078078078,0.7008482486984959,0.5928291149835259,0.7493092382246643,smallmols_02_solubility_11,400.835693359375,0.004873555153608322,1.0
smallmols_02_solubility,12,6.956362247467041,25.0225,6400,5849,5040,1360,1.0,1.0,1.0,0.5053331243737096,0.9987103174603175,0.707960080546131,0.5992015980162859,0.7536275537758286,smallmols_02_solubility_12,407.3966064453125,0.0015732567990198731,1.0
smallmols_02_solubility,13,6.943572521209717,24.80515625,6400,5827,5139,1261,1.0,1.0,1.0,0.44445361918873,0.9988713757540378,0.7189171197301767,0.5975426192463675,0.7660447982265566,smallmols_02_solubility_13,427.2247619628906,0.0013681710697710514,1.0
smallmols_02_solubility,14,6.872529983520508,25.29109375,6400,5738,5244,1156,1.0,1.0,1.0,0.4720942394512833,0.9989893211289094,0.7388902194703426,0.5942206045632142,0.7634534451849784,smallmols_02_solubility_14,409.7959899902344,0.0012674778699874878,1.0
smallmols_02_solubility,15,6.772120952606201,25.8415625,6400,5706,5282,1118,1.0,1.0,1.0,0.5982020947958309,0.9990344566452103,0.7620270566240058,0.5886303065603952,0.7732326100699413,smallmols_02_solubility_15,488.7865905761719,0.0040788487531244755,1.0
smallmols_02_solubility,16,6.678668022155762,26.2515625,6400,5655,5328,1072,1.0,1.0,1.0,0.49258844714013106,0.9991554054054054,0.776319809121888,0.5777342416240331,0.7817052843341582,smallmols_02_solubility_16,470.0218505859375,0.0011909668100997806,1.0
smallmols_02_solubility,17,6.640532970428467,26.53046875,6400,5642,5358,1042,1.0,1.0,1.0,0.5510814635234831,0.9992534527808884,0.7854142386570477,0.5793576586690061,0.783169218061589,smallmols_02_solubility_17,471.06536865234375,0.0008217894355766475,1.0
smallmols_02_solubility,18,6.628446578979492,26.326875,6400,5562,5350,1050,1.0,1.0,1.0,0.5417316908358235,0.9991028037383177,0.7894205212424222,0.5768266319701595,0.7970577127570727,smallmols_02_solubility_18,428.99566650390625,0.0009910297812893987,1.0
smallmols_02_solubility,19,6.640893459320068,26.20875,6400,5459,5353,1047,1.0,1.0,1.0,0.5872260807854268,0.9997011021856902,0.793966023201716,0.5792042802478942,0.8084262520011272,smallmols_02_solubility_19,479.04888916015625,0.0006886806804686785,1.0
smallmols_02_solubility,20,6.62744140625,26.415125,32000,23898,26759,5241,1.0,1.0,1.0,0.5883867010662248,0.9994917597817558,0.8059721341944683,0.5888886954188558,0.80797846062057,smallmols_02_solubility_20,409.5762023925781,0.0008704962092451751,1.0
smallmols_02_solubility,21,6.606639862060547,26.8409375,6400,5471,5341,1059,1.0,1.0,1.0,0.5775895631032718,0.9996629844598391,0.8172969689687967,0.5935765115188834,0.8149105762973744,smallmols_02_solubility_21,450.0162353515625,0.0008368726121261716,1.0
smallmols_02_solubility,22,6.635256767272949,26.9178125,6400,5379,5375,1025,1.0,1.0,1.0,0.5758458131381791,0.9996465116279071,0.8331101714756189,0.602325583130392,0.8180746280103174,smallmols_02_solubility_22,456.76849365234375,0.0007249452173709869,1.0
